scenario,year,Median,Median low,Median high,Top 10%,Top 10% low,Top 10% high,Top 1%,Top 1% low,Top 1% high,Top 0.01%,Top 0.01% low,Top 0.01% high
exponential,2020,84.16853233830847,83.68844696969697,84.56122222222224,94.98415322580644,94.62936320754716,95.33306603773585,101.97156666666666,101.67065476190476,102.21355172413791,109.55747,109.38954375,109.87843
exponential,2030,85.62454188481676,85.10243506493508,85.75279069767443,96.13111344537816,95.70030092592592,96.20976377952756,102.94369736842106,102.57220652173912,103.04540625,111.0285525,110.3891325,111.0285525
exponential,2040,87.13010416666665,86.39102564102565,87.13010416666665,97.21251851851852,96.78218253968257,97.25376984126984,103.88151724137931,103.51076666666668,103.88151724137931,111.61017,111.42848,111.61017
exponential,2050,88.38631974248928,87.7060520361991,88.46478215767634,98.25644160583944,97.79053571428572,98.32017307692308,104.76143055555556,104.37489423076924,104.79805681818182,111.8280575,111.5782225,112.1584675
exponential,2060,89.65923423423423,88.90073170731706,89.68838289962825,99.26553691275168,98.62601351351351,99.2883984375,105.65351923076923,104.96138888888888,105.65351923076923,112.73957500000002,112.30615,112.73957500000002
exponential,2070,90.8659465020576,90.00516877637132,90.86870437956205,100.17919708029196,99.52326923076924,100.22204697986577,106.3486956521739,105.78742857142858,106.40934,113.4027,112.57785,113.4027
exponential,2080,92.00485,90.91013104838709,92.0051595744681,101.10106589147286,100.22724789915966,101.10106589147286,107.144375,106.37189772727272,107.16595967741937,113.5375625,113.230135,114.079895
exponential,2090,93.09505597014925,91.85754132231403,93.12416007905138,101.9345,100.9784013605442,101.94998299319728,107.82416666666668,107.06402173913044,107.90898333333334,114.92725,114.3849,115.0273475
exponential,2100,94.11106719367588,92.79336492890997,94.15897212543554,102.71974860335196,101.64018248175182,102.74911184210526,108.59898387096774,107.60723076923075,108.59898387096774,115.35874,114.36369,115.35874
historical,1900,72.44828947368421,69.84267676767676,74.5929347826087,88.35713855421686,86.34522727272727,90.02587912087913,97.00411666666668,95.24877272727272,98.36647368421052,106.24647,104.0674,106.88488
historical,1910,73.50550847457626,70.99459134615384,75.26017441860466,88.71771428571428,86.83088709677419,90.05683734939758,97.09346428571428,95.60526388888889,98.2730138888889,105.778085,105.031895,107.0258925
historical,1920,74.48800403225806,72.38829545454544,76.26073008849559,89.59325,87.92932499999999,90.86416666666666,97.90884722222222,96.50184722222222,98.93906578947367,106.84037,105.3387475,107.87750875
historical,1930,74.35434322033898,71.92886904761905,76.21935975609756,88.53949468085106,86.56558695652174,89.94287234042554,96.82335227272728,95.22057,98.00725,105.3831,103.947285,106.326415
historical,1940,75.73454861111111,73.11232638888889,77.76541411042945,89.04703389830509,86.98826086956521,90.54415816326532,97.17979166666666,95.34573076923076,98.3988875,105.9892,104.55256000000004,106.33722
historical,1950,77.42035928143713,75.12300955414011,79.22558823529408,89.99607142857143,88.16280434782608,91.35315533980582,97.6915,96.30551785714286,98.9583695652174,106.15996,106.11463500000002,107.377525
historical,1960,78.29178370786516,76.15371621621622,79.81545698924731,90.54820454545454,88.94336363636364,91.6368699186992,98.25154166666668,96.81366666666666,99.0705238095238,106.72470333333334,105.17748,107.32729
historical,1970,77.80883233532934,75.6650143678161,79.4683282208589,90.13472727272728,88.53275943396227,91.40130341880342,97.95735,96.57891071428573,98.95990625,106.00597,105.05558875,107.3768875
historical,1980,77.51221264367815,75.18310810810809,79.37953367875647,89.8660752688172,88.05180952380952,91.3203982300885,97.78711904761904,96.1732037037037,98.96752,106.555545,104.58703,107.32963
historical,1990,79.24207142857144,77.42472677595629,80.72433574879224,91.17630319148935,89.82238095238095,92.348575,98.72890217391304,97.72195454545454,99.74283823529412,107.3296475,106.18516,107.63964125
historical,2000,80.99038461538463,79.49162011173183,82.02137573964497,92.5154854368932,91.36974137931034,93.35959905660376,99.89997826086956,98.9566,100.4911447368421,107.95949833333331,106.9899,108.13266875
historical,2010,82.86074324324323,80.67520833333333,83.51204663212437,94.02094758064516,92.33897826086957,94.544126984127,101.23513235294116,99.78513,101.64145652173912,109.0034725,107.558065,109.85607
historical,2020,84.13961748633879,83.67236486486486,84.52588862559243,94.99444444444444,94.60727459016393,95.26950396825396,101.9382608695652,101.6777976190476,102.2618804347826,110.20253333333334,109.90589375,110.46393
linear,2020,84.20392287234041,83.68203125,84.50005952380954,95.03033783783783,94.59480088495576,95.32071100917432,102.0531911764706,101.65038043478262,102.27523958333336,109.94017,109.11635,109.94017
linear,2030,85.53450704225352,84.93644859813084,85.68449292452831,96.01854700854702,95.62558823529412,96.1826376146789,102.92407142857142,102.5172037037037,102.9580657894737,110.00362,110.00362,110.5361075
linear,2040,86.78978873239438,86.0980429292929,86.78978873239438,97.06842105263158,96.49285433070864,97.06842105263158,103.65286764705884,103.31788541666668,103.7133409090909,111.23145,110.7785425,111.378185
linear,2050,87.90572222222221,87.1433888888889,87.96304611650484,97.95710820895522,97.3309879032258,97.96839743589744,104.4547738095238,103.980265625,104.485640625,111.96201,110.97667125,112.130905
linear,2060,88.97429956896549,88.18795103092785,89.00045871559632,98.73376086956522,98.11883858267716,98.73376086956522,105.09589583333332,104.60857,105.12685416666666,112.468045,111.3778925,112.468045
