year,conservative_ci_low,conservative_ci_high,scenario_ci_low,scenario_ci_high,mismatch_ci_low,mismatch_ci_high,ggm_cov_ci_low,ggm_cov_ci_high,window_ci_low,window_ci_high
1900,0.8131478289636971,0.9009554492272798,0.8308454926562252,0.8864945189627707,0.8131478289636971,0.9009554492272798,0.8247809855367673,0.8914103024176999,0.85635020349172,0.8863239112867699
1910,0.8157800190187574,0.8918844496606568,0.8267408452073066,0.8848133116874108,0.8157800190187574,0.8918844496606568,0.8211172232665817,0.88962094213342,0.8483458244441683,0.8655061069513319
1920,0.839722903333666,0.915371370111589,0.8537661734336164,0.9041968220304828,0.839722903333666,0.915371370111589,0.848247730914285,0.909964346321136,0.8644082545040027,0.8805748696108375
1930,0.7952353835414185,0.8725695383605093,0.7997174456417604,0.8671948559772217,0.7952353835414185,0.8725695383605093,0.7955572995912447,0.87199573976365,0.8305074698231273,0.8406913834938865
1940,0.7929815058084907,0.8760884582067756,0.8023795171639586,0.8680360854639937,0.7929815058084907,0.8760884582067756,0.7964162910314349,0.8734282228897675,0.8232594895895802,0.843433965394105
1950,0.8089979715055594,0.8861046179766926,0.8168641734395853,0.8781869931323312,0.8089979715055594,0.8861046179766926,0.8126995463031372,0.8827285883470424,0.8420725558156151,0.8550183011489263
1960,0.8228386431174807,0.8930219449750317,0.8299753296195239,0.8875346870848516,0.8228386431174807,0.8930219449750317,0.8262960501744797,0.8915559936977557,0.8578010700847021,0.8675413582604654
1970,0.8128694427526238,0.8847183405075874,0.8169479412265251,0.8802448051004375,0.8137510529228228,0.8842530125837679,0.8128694427526238,0.8847183405075874,0.8459456094765194,0.861941580060956
1980,0.8025787836661384,0.8817071936909064,0.8092657592562197,0.8757586963679735,0.8025787836661384,0.8817071936909064,0.8052195034781927,0.8803151325550806,0.8378822240959402,0.8636166827554352
1981,0.8158226887494979,0.8892799973738128,0.8207091323977928,0.8833283505783798,0.8158226887494979,0.8892799973738128,0.817044012139378,0.8875957957987045,0.8448948857769396,0.8564682558549106
1982,0.8052158081313642,0.8852002098729546,0.8137630287472,0.8790731044793927,0.8052158081313642,0.8852002098729546,0.8100358360878726,0.8832954032736291,0.8444000162419429,0.8543839419357939
1983,0.8237285240046575,0.8949192607339006,0.8302310660068527,0.890045996889296,0.8237285240046575,0.8949192607339006,0.8256294367335073,0.8945332155838291,0.8530711986674997,0.8668523525770608
1984,0.8248451079040057,0.8973136591316361,0.8318894594658262,0.8913428634876037,0.8248451079040057,0.8973136591316361,0.8282940281447813,0.8954406806271435,0.8581142590905437,0.86446794832226
1985,0.829573215130954,0.8982867441603954,0.8347164152204509,0.8930220830580908,0.829573215130954,0.8982867441603954,0.8303432109083626,0.8973710220271935,0.856330433552023,0.8669134361298629
1986,0.8298265004071049,0.8998380735129752,0.8362316874450965,0.8942421967297358,0.8298265004071049,0.8998380735129752,0.831667223497965,0.8988509068771819,0.8560841968688562,0.8683440612093232
1987,0.8313945529059883,0.9002852637332723,0.8381012376315948,0.8956251589169069,0.8313945529059883,0.9002852637332723,0.8334177535068765,0.9,0.8551760228167875,0.8697679942322314
1988,0.8360544936762588,0.9024703507573165,0.8417089076608222,0.8975437489257229,0.8360544936762588,0.9024703507573165,0.8379648477912056,0.9011145623019072,0.8677344488577844,0.8801308453185684
1989,0.8303300153630248,0.9033803426305246,0.8399084965864178,0.8973018970349456,0.8303300153630248,0.9033803426305246,0.8358042719844828,0.9,0.8708973133081195,0.8857126760886291
1990,0.8438556087284458,0.9088805690723681,0.8500422638654377,0.9034583578200751,0.8438556087284458,0.9088805690723681,0.8455545532629,0.9070514966855892,0.8715795031398509,0.8828141367566235
1991,0.829546880552297,0.9022007494524984,0.8392292509293363,0.896827054386798,0.829546880552297,0.9022007494524984,0.8352187889565043,0.9,0.8703340762678109,0.8836648697595626
1992,0.8412101654183367,0.9080710437458398,0.8487407148589885,0.9026737800840454,0.8412101654183367,0.9080710437458398,0.8442000190185511,0.9064192383907685,0.8750151283134573,0.8822177885760822
1993,0.8491390265966126,0.9130408886626729,0.8557570820257072,0.9075501354680605,0.8491390265966126,0.9130408886626729,0.8509319773297398,0.9110233139482229,0.8837354346016522,0.8981089722774434
1994,0.8267463724359004,0.9065165227738424,0.8403616423809541,0.8975714064243312,0.8267463724359004,0.9065165227738424,,,0.8715682114381094,0.8959955651904805
