panel,param,value,scenario_id,n_sim,seed_method,max_lifespan
heterogeneity,eta,0.18,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,229.00008000005036
heterogeneity,eta,0.19,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,261.5000100000063
heterogeneity,eta,0.19,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,263.3000200000126
heterogeneity,eta,0.19,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,257.6000500000315
heterogeneity,eta,0.2,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,290.8000500000315
heterogeneity,eta,0.2,eta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,293.9000300000189
heterogeneity,eta,0.2,eta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,284.40005000003146
heterogeneity,beta,0.0,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,beta,0.0,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,105.6
heterogeneity,beta,0.0,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.2
heterogeneity,beta,0.01,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7
heterogeneity,beta,0.01,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,105.9
heterogeneity,beta,0.01,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.5
heterogeneity,beta,0.02,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.4
heterogeneity,beta,0.02,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.5
heterogeneity,beta,0.02,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.3
heterogeneity,beta,0.03,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,108.9
heterogeneity,beta,0.03,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.9
heterogeneity,beta,0.03,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.8
heterogeneity,beta,0.04,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.5
heterogeneity,beta,0.04,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.0
heterogeneity,beta,0.04,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,111.2000100000063
heterogeneity,beta,0.05,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,112.6
heterogeneity,beta,0.05,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,111.9
heterogeneity,beta,0.05,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,113.7
heterogeneity,beta,0.06,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,115.1
heterogeneity,beta,0.06,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,114.2
heterogeneity,beta,0.06,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,115.9
heterogeneity,beta,0.07,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,117.3
heterogeneity,beta,0.07,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,116.6000100000063
heterogeneity,beta,0.07,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,118.2
heterogeneity,beta,0.08,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,119.8000100000063
heterogeneity,beta,0.08,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,118.9
heterogeneity,beta,0.08,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,121.1
heterogeneity,beta,0.09,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,122.4
heterogeneity,beta,0.09,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,121.6
heterogeneity,beta,0.09,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,123.5
heterogeneity,beta,0.1,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,125.4
heterogeneity,beta,0.1,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,123.9
heterogeneity,beta,0.1,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,126.7
heterogeneity,beta,0.11,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,128.3
heterogeneity,beta,0.11,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,127.2
heterogeneity,beta,0.11,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,129.4
heterogeneity,beta,0.12,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,131.1
heterogeneity,beta,0.12,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,130.0
heterogeneity,beta,0.12,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,132.8
heterogeneity,beta,0.13,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,134.00001000000628
heterogeneity,beta,0.13,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,132.2
heterogeneity,beta,0.13,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,135.4
heterogeneity,beta,0.14,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,137.5
heterogeneity,beta,0.14,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,135.7
heterogeneity,beta,0.14,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,137.9000200000126
heterogeneity,beta,0.15,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,139.6
heterogeneity,beta,0.15,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,138.4
heterogeneity,beta,0.15,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,140.9
heterogeneity,beta,0.16,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,143.6
heterogeneity,beta,0.16,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,142.00001000000628
heterogeneity,beta,0.16,beta_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,143.8000100000063
heterogeneity,beta,0.17,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,146.1
heterogeneity,beta,0.17,beta_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,144.5
