fit_name,fit_params,contains_senogenic,age,survival
eta,eta,True,19.25,0.0002
eta,eta,True,19.5,0.0002
eta,eta,True,19.75,0.0002
eta,eta,True,20.0,0.0
eta,eta,True,20.25,0.0
eta,eta,True,20.5,0.0
eta,eta,True,20.75,0.0
eta,eta,True,21.0,0.0
eta,eta,True,21.25,0.0
eta,eta,True,21.5,0.0
eta,eta,True,21.75,0.0
eta,eta,True,22.0,0.0
eta,eta,True,22.25,0.0
eta,eta,True,22.5,0.0
eta,eta,True,22.75,0.0
eta,eta,True,23.0,0.0
eta,eta,True,23.25,0.0
eta,eta,True,23.5,0.0
eta,eta,True,23.75,0.0
eta,eta,True,24.0,0.0
eta,eta,True,24.25,0.0
eta,eta,True,24.5,0.0
eta,eta,True,24.75,0.0
eta,eta,True,25.0,0.0
eta,eta,True,25.25,0.0
eta,eta,True,25.5,0.0
eta,eta,True,25.75,0.0
eta,eta,True,26.0,0.0
eta,eta,True,26.25,0.0
eta,eta,True,26.5,0.0
eta,eta,True,26.75,0.0
eta,eta,True,27.0,0.0
eta,eta,True,27.25,0.0
eta,eta,True,27.5,0.0
eta,eta,True,27.75,0.0
eta,eta,True,28.0,0.0
eta,eta,True,28.25,0.0
eta,eta,True,28.5,0.0
eta,eta,True,28.75,0.0
eta,eta,True,29.0,0.0
eta,eta,True,29.25,0.0
eta,eta,True,29.5,0.0
eta,eta,True,29.75,0.0
eta,eta,True,30.0,0.0
eta,eta,True,30.25,0.0
eta,eta,True,30.5,0.0
eta,eta,True,30.75,0.0
eta,eta,True,31.0,0.0
eta,eta,True,31.25,0.0
eta,eta,True,31.5,0.0
eta,eta,True,31.75,0.0
eta,eta,True,32.0,0.0
eta,eta,True,32.25,0.0
eta,eta,True,32.5,0.0
eta,eta,True,32.75,0.0
eta,eta,True,33.0,0.0
eta,eta,True,33.25,0.0
eta,eta,True,33.5,0.0
eta,eta,True,33.75,0.0
eta,eta,True,34.0,0.0
eta,eta,True,34.25,0.0
eta,eta,True,34.5,0.0
eta,eta,True,34.75,0.0
eta,eta,True,35.0,0.0
beta,beta,True,0.0,1.0
beta,beta,True,0.25,0.9998
beta,beta,True,0.5,0.9992
beta,beta,True,0.75,0.9978
beta,beta,True,1.0,0.9952
beta,beta,True,1.25,0.99
beta,beta,True,1.5,0.986
beta,beta,True,1.75,0.981
beta,beta,True,2.0,0.9754
beta,beta,True,2.25,0.9706
beta,beta,True,2.5,0.9654
beta,beta,True,2.75,0.9594
beta,beta,True,3.0,0.9524
beta,beta,True,3.25,0.9474
beta,beta,True,3.5,0.9426
beta,beta,True,3.75,0.9342
beta,beta,True,4.0,0.9278
beta,beta,True,4.25,0.9214
beta,beta,True,4.5,0.9152
beta,beta,True,4.75,0.909
beta,beta,True,5.0,0.903
beta,beta,True,5.25,0.8964
beta,beta,True,5.5,0.8896
beta,beta,True,5.75,0.8828
beta,beta,True,6.0,0.8762
beta,beta,True,6.25,0.8688
beta,beta,True,6.5,0.8614
beta,beta,True,6.75,0.8542
beta,beta,True,7.0,0.8436
beta,beta,True,7.25,0.8344
beta,beta,True,7.5,0.8258
beta,beta,True,7.75,0.8168
beta,beta,True,8.0,0.8082
beta,beta,True,8.25,0.7974
beta,beta,True,8.5,0.7902
beta,beta,True,8.75,0.782
beta,beta,True,9.0,0.7728
beta,beta,True,9.25,0.7632
beta,beta,True,9.5,0.755
beta,beta,True,9.75,0.7438
beta,beta,True,10.0,0.7344
beta,beta,True,10.25,0.7228
beta,beta,True,10.5,0.713
beta,beta,True,10.75,0.7004
beta,beta,True,11.0,0.6876
beta,beta,True,11.25,0.6746
beta,beta,True,11.5,0.6636
beta,beta,True,11.75,0.65
beta,beta,True,12.0,0.6418
beta,beta,True,12.25,0.6314
beta,beta,True,12.5,0.6176
beta,beta,True,12.75,0.6066
beta,beta,True,13.0,0.5938
beta,beta,True,13.25,0.58
beta,beta,True,13.5,0.5668
beta,beta,True,13.75,0.5558
beta,beta,True,14.0,0.545
beta,beta,True,14.25,0.5316
beta,beta,True,14.5,0.519
beta,beta,True,14.75,0.5086
beta,beta,True,15.0,0.4942
beta,beta,True,15.25,0.4812
beta,beta,True,15.5,0.4704
beta,beta,True,15.75,0.4594
beta,beta,True,16.0,0.4442
beta,beta,True,16.25,0.433
beta,beta,True,16.5,0.4208
beta,beta,True,16.75,0.408
beta,beta,True,17.0,0.396
beta,beta,True,17.25,0.3824
beta,beta,True,17.5,0.368
beta,beta,True,17.75,0.3558
beta,beta,True,18.0,0.346
beta,beta,True,18.25,0.3352
beta,beta,True,18.5,0.3238
beta,beta,True,18.75,0.3128
beta,beta,True,19.0,0.2992
beta,beta,True,19.25,0.288
beta,beta,True,19.5,0.2744
beta,beta,True,19.75,0.2636
beta,beta,True,20.0,0.2518
beta,beta,True,20.25,0.2414
beta,beta,True,20.5,0.2292
beta,beta,True,20.75,0.2196
beta,beta,True,21.0,0.2086
beta,beta,True,21.25,0.1936
beta,beta,True,21.5,0.1844
beta,beta,True,21.75,0.1736
beta,beta,True,22.0,0.1654
beta,beta,True,22.25,0.156
beta,beta,True,22.5,0.146
beta,beta,True,22.75,0.141
beta,beta,True,23.0,0.1342
beta,beta,True,23.25,0.128
beta,beta,True,23.5,0.1204
beta,beta,True,23.75,0.113
beta,beta,True,24.0,0.1056
beta,beta,True,24.25,0.0992
beta,beta,True,24.5,0.0932
beta,beta,True,24.75,0.0868
beta,beta,True,25.0,0.079
beta,beta,True,25.25,0.0734
beta,beta,True,25.5,0.0686
beta,beta,True,25.75,0.0638
beta,beta,True,26.0,0.059
beta,beta,True,26.25,0.0554
beta,beta,True,26.5,0.0512
beta,beta,True,26.75,0.0476
beta,beta,True,27.0,0.0434
beta,beta,True,27.25,0.041
beta,beta,True,27.5,0.0382
beta,beta,True,27.75,0.0356
beta,beta,True,28.0,0.0326
beta,beta,True,28.25,0.0284
beta,beta,True,28.5,0.026
beta,beta,True,28.75,0.0228
beta,beta,True,29.0,0.021
beta,beta,True,29.25,0.019
beta,beta,True,29.5,0.017
beta,beta,True,29.75,0.0138
