age,gain_low,gain_median,gain_high
60,-8.601683033742361,0.015365070778882986,8.29843400255356
65,-7.417236442210362,0.013806936981687463,7.842868711977869
70,-6.082212930727822,0.012130732661186087,7.177349462348787
75,-4.740569508907669,0.009702794150315209,6.158991257262485
80,-3.3556825855837724,0.00731870401873863,4.938351653302968
85,-2.2495325850467327,0.004415866163738692,3.6550502200880315
90,-1.463681747547631,0.0032325199374362698,2.369394365520696
95,-0.8708550458237754,0.0016216479832925896,1.4741050094749677
100,-0.5954151805834834,0.0009258042642255339,0.7972888862460484
