curve_set,topic,group,label,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,central_best_distance,central_second_distance,central_distance_margin
xc_std_frac_high,diet,Good,Good,300,epsilon,robustness,0.0033333333333333335,0.016666666666666666,0.08666666666666667,0.8933333333333333,0.0,0.02,0.98,0.0,0.16249700495990507,0.1071025616355321,0.022742604021803284,0.012277268134595651,0.169365846771563,0.012277268134595651,0.022742604021803284,0.010465335887207633
xc_std_frac_low,diet,Good,Good,300,epsilon,robustness,0.006666666666666667,0.013333333333333334,0.08,0.9,0.0,0.02,0.98,0.0,0.15139005382449322,0.10151119458430923,0.025013937448194308,0.012214072189198533,0.16600891655537145,0.012214072189198533,0.025013937448194308,0.012799865258995775
mean_model_curve,diet,Poor,Poor,300,beta,senogenic,0.12333333333333334,0.14666666666666667,0.19,0.35333333333333333,0.18666666666666668,0.27,0.5433333333333333,0.18666666666666668,0.02336857268127013,0.006042639911142868,0.006961663159526858,0.008576434476500683,0.032597729039651545,0.006042639911142868,0.006961663159526858,0.0009190232483839902
Xc_high,diet,Poor,Poor,300,beta,senogenic,0.13333333333333333,0.14666666666666667,0.21333333333333335,0.32,0.18666666666666668,0.28,0.5333333333333333,0.18666666666666668,0.019047455824297278,0.005502542092510067,0.010501537649794434,0.009854184730834738,0.03616254489986235,0.005502542092510067,0.009854184730834738,0.004351642638324671
Xc_low,diet,Poor,Poor,300,epsilon,robustness,0.09666666666666666,0.12333333333333334,0.17,0.44,0.17,0.22,0.61,0.17,0.0266943350180475,0.009737362372359462,0.005512034051552693,0.004981496387668823,0.03316159873597692,0.004981496387668823,0.005512034051552693,0.0005305376638838708
beta_high,diet,Poor,Poor,300,beta,senogenic,0.14666666666666667,0.19333333333333333,0.15666666666666668,0.32,0.18333333333333332,0.34,0.4766666666666667,0.18333333333333332,0.023910528248501022,0.00033189598369662884,0.00931129250633139,0.010394232095991166,0.032392692019770145,0.00033189598369662884,0.00931129250633139,0.008979396522634762
beta_low,diet,Poor,Poor,300,Xc,robustness,0.11,0.15,0.16666666666666666,0.4,0.17333333333333334,0.26,0.5666666666666667,0.17333333333333334,0.025848891691234464,0.00835787146887588,0.006185494812045727,0.007451566862270091,0.025525714897350577,0.006185494812045727,0.007451566862270091,0.0012660720502243638
central,diet,Poor,Poor,300,Xc,robustness,0.11,0.13666666666666666,0.19666666666666666,0.39,0.16666666666666666,0.24666666666666667,0.5866666666666667,0.16666666666666666,0.024448274992161984,0.007422447567700613,0.005640401961658806,0.00731782233790271,0.03658523594034183,0.005640401961658806,0.00731782233790271,0.0016774203762439039
epsilon_high,diet,Poor,Poor,300,Xc,robustness,0.09,0.15,0.21,0.4166666666666667,0.13333333333333333,0.24,0.6266666666666667,0.13333333333333333,0.03590095330130754,0.009336934685297246,0.004241893363518881,0.007986908525518135,0.03338440071290872,0.004241893363518881,0.007986908525518135,0.0037450151619992543
epsilon_low,diet,Poor,Poor,300,beta,senogenic,0.12,0.14333333333333334,0.22,0.33,0.18666666666666668,0.2633333333333333,0.55,0.18666666666666668,0.02111037260476015,0.006078324079067517,0.007505173085678957,0.010146520622214071,0.034377394818152926,0.006078324079067517,0.007505173085678957,0.0014268490066114406
eta_high,diet,Poor,Poor,300,beta,senogenic,0.13666666666666666,0.13666666666666666,0.19,0.29333333333333333,0.24333333333333335,0.2733333333333333,0.48333333333333334,0.24333333333333335,0.014878321207965924,0.0035152216846364845,0.010812582156643885,0.009699595070469129,0.021567092307111724,0.0035152216846364845,0.009699595070469129,0.006184373385832644
eta_low,diet,Poor,Poor,300,Xc,robustness,0.1,0.1,0.26666666666666666,0.38333333333333336,0.15,0.2,0.65,0.15,0.024171440382879817,0.009725018756633258,0.005045449145121293,0.008563122269998667,0.041474403783493714,0.005045449145121293,0.008563122269998667,0.003517673124877374
xc_std_frac_high,diet,Poor,Poor,300,beta,senogenic,0.14,0.12666666666666668,0.22333333333333333,0.35,0.16,0.26666666666666666,0.5733333333333334,0.16,0.024985159404875577,0.003770951168708204,0.005818595181914857,0.00958197684235158,0.03384991449569623,0.003770951168708204,0.005818595181914857,0.0020476440132066527
xc_std_frac_low,diet,Poor,Poor,300,beta,senogenic,0.13666666666666666,0.09666666666666666,0.18,0.3566666666666667,0.23,0.23333333333333334,0.5366666666666666,0.23,0.01372890125822594,0.0026494086667843905,0.006504578842365606,0.00864160200897947,0.03060546640099723,0.0026494086667843905,0.006504578842365606,0.003855170175581215
mean_model_curve,number_of_friends,0 friends,0 friends,300,epsilon,robustness,0.08333333333333333,0.09,0.14666666666666667,0.2966666666666667,0.38333333333333336,0.17333333333333334,0.44333333333333336,0.38333333333333336,0.15477239736419862,0.08461879272050706,0.007129857023048318,0.004105776798024051,0.03089312276366209,0.004105776798024051,0.007129857023048318,0.0030240802250242676
Xc_high,number_of_friends,0 friends,0 friends,300,Xc,robustness,0.08666666666666667,0.1,0.24333333333333335,0.30333333333333334,0.26666666666666666,0.18666666666666668,0.5466666666666666,0.26666666666666666,0.15550931128065962,0.08105752252624362,0.0028617411374881837,0.01481592042331149,0.03397097369317143,0.0028617411374881837,0.01481592042331149,0.011954179285823307
Xc_low,number_of_friends,0 friends,0 friends,300,epsilon,robustness,0.07666666666666666,0.08666666666666667,0.10666666666666667,0.15666666666666668,0.5733333333333334,0.16333333333333333,0.2633333333333333,0.5733333333333334,0.1539302268740476,0.08639157425200401,0.01929715674103703,0.011850959782120847,0.021143245252246406,0.011850959782120847,0.01929715674103703,0.007446196958916183
