factor,age,remaining_median,remaining_low,remaining_high,n,random_seed,baseline_remaining,baseline_low,baseline_high,gain_years,gain_low,gain_high
0.8,60,16.599999999999994,16.5,16.700000000000003,100000,20265520,23.825000000000003,23.724999999999994,23.900000000000006,-7.2250000000000085,-7.400000000000006,-7.0249999999999915
0.8,65,13.099999999999994,13.025000000000006,13.174999999999997,100000,20265520,19.325000000000003,19.275000000000006,19.424999999999997,-6.2250000000000085,-6.3999999999999915,-6.1000000000000085
0.8,70,10.025000000000006,9.950000000000003,10.125,100000,20265520,15.200000000000003,15.125,15.275000000000006,-5.174999999999997,-5.325000000000003,-5.0
0.8,75,7.474999999999994,7.400000000000006,7.549999999999997,100000,20265520,11.474999999999994,11.400000000000006,11.549999999999997,-4.0,-4.1499999999999915,-3.8500000000000085
0.8,80,5.424999999999997,5.349999999999994,5.5,100000,20265520,8.299999999999997,8.25,8.375,-2.875,-3.0250000000000057,-2.75
0.8,85,3.950000000000003,3.875,4.025000000000006,100000,20265520,5.849999999999994,5.775000000000006,5.900000000000006,-1.8999999999999915,-2.0250000000000057,-1.75
0.8,90,2.825000000000003,2.75,2.924999999999997,100000,20265520,4.025000000000006,3.9749999999999943,4.075000000000003,-1.2000000000000028,-1.3250000000000028,-1.0499999999999972
0.8,95,2.0,1.8499999999999943,2.125,100000,20265520,2.674999999999997,2.5999999999999943,2.7249999999999943,-0.6749999999999972,-0.875,-0.4749999999999943
0.8,100,1.5250000000000057,1.2999999999999972,1.75,100000,20265520,1.8499999999999943,1.75,1.9749999999999943,-0.32499999999998863,-0.6749999999999972,0.0
0.85,60,18.5,18.424999999999997,18.599999999999994,100000,20265621,23.825000000000003,23.724999999999994,23.900000000000006,-5.325000000000003,-5.4750000000000085,-5.125
0.85,65,14.674999999999997,14.599999999999994,14.775000000000006,100000,20265621,19.325000000000003,19.275000000000006,19.424999999999997,-4.650000000000006,-4.825000000000003,-4.5
0.85,70,11.299999999999997,11.224999999999994,11.375,100000,20265621,15.200000000000003,15.125,15.275000000000006,-3.9000000000000057,-4.050000000000011,-3.75
0.85,75,8.450000000000003,8.375,8.525000000000006,100000,20265621,11.474999999999994,11.400000000000006,11.549999999999997,-3.0249999999999915,-3.174999999999997,-2.875
0.85,80,6.125,6.075000000000003,6.200000000000003,100000,20265621,8.299999999999997,8.25,8.375,-2.174999999999997,-2.299999999999997,-2.049999999999997
0.85,85,4.375,4.299999999999997,4.450000000000003,100000,20265621,5.849999999999994,5.775000000000006,5.900000000000006,-1.4749999999999943,-1.6000000000000085,-1.3250000000000028
0.85,90,3.075000000000003,2.9749999999999943,3.1500000000000057,100000,20265621,4.025000000000006,3.9749999999999943,4.075000000000003,-0.9500000000000028,-1.1000000000000085,-0.8249999999999886
0.85,95,2.174999999999997,2.049999999999997,2.2750000000000057,100000,20265621,2.674999999999997,2.5999999999999943,2.7249999999999943,-0.5,-0.6749999999999972,-0.32499999999998863
0.85,100,1.625,1.375,1.8499999999999943,100000,20265621,1.8499999999999943,1.75,1.9749999999999943,-0.22499999999999432,-0.5999999999999943,0.09999999999999432
0.9,60,20.349999999999994,20.275000000000006,20.450000000000003,100000,20265722,23.825000000000003,23.724999999999994,23.900000000000006,-3.4750000000000085,-3.625,-3.2749999999999915
0.9,65,16.224999999999994,16.150000000000006,16.325000000000003,100000,20265722,19.325000000000003,19.275000000000006,19.424999999999997,-3.1000000000000085,-3.2749999999999915,-2.950000000000003
0.9,70,12.549999999999997,12.474999999999994,12.625,100000,20265722,15.200000000000003,15.125,15.275000000000006,-2.6500000000000057,-2.8000000000000114,-2.5
0.9,75,9.424999999999997,9.349999999999994,9.5,100000,20265722,11.474999999999994,11.400000000000006,11.549999999999997,-2.049999999999997,-2.200000000000003,-1.9000000000000057
0.9,80,6.799999999999997,6.724999999999994,6.875,100000,20265722,8.299999999999997,8.25,8.375,-1.5,-1.6500000000000057,-1.375
0.9,85,4.825000000000003,4.75,4.875,100000,20265722,5.849999999999994,5.775000000000006,5.900000000000006,-1.0249999999999915,-1.1500000000000057,-0.9000000000000057
0.9,90,3.450000000000003,3.375,3.5250000000000057,100000,20265722,4.025000000000006,3.9749999999999943,4.075000000000003,-0.5750000000000028,-0.7000000000000028,-0.44999999999998863
0.9,95,2.3499999999999943,2.25,2.450000000000003,100000,20265722,2.674999999999997,2.5999999999999943,2.7249999999999943,-0.32500000000000284,-0.4749999999999943,-0.14999999999999147
