topic,group,label,xc_factor,xc_factor_boot_low,xc_factor_boot_high,xc_factor_full_low,xc_factor_full_high,n
diet,Good,Good,1.1234093637454985,1.0394557823129251,1.2172388955582232,1.037607042817127,1.2293717486994795,300
diet,Poor,Poor,1.016486594637855,0.9627931172468988,1.0699799919967987,0.9623689475790316,1.0725090036014406,300
number_of_friends,0 friends,0 friends,0.8986794717887154,0.7071308523409364,1.063561424569828,0.7062505002000801,1.062264905962385,300
number_of_friends,1+ friends,1+ friends,1.016486594637855,0.9650500200080032,1.060392156862745,0.963985594237695,1.0622729091636656,300
income,Q1 (Lowest),Q1 income,0.8253701480592237,0.7947899159663865,0.9119887955182072,0.7853381352541016,0.913405362144858,300
income,Q2,Q2 income,0.90828331332533,0.8493797519007602,1.0181032412965183,0.8464905962384954,1.0177751100440176,300
income,Q3,Q3 income,1.1234093637454985,0.9996238495398158,1.2648179271708682,0.9982312925170068,1.2713325330132053,300
income,Q4 (Highest),Q4 income,1.4,1.2868507402961185,1.4,1.278047218887555,1.4,299
alcohol,0-1 drink/day,0-1 drink/day,1.2117647058823529,1.1336054421768706,1.3291156462585032,1.131732693077231,1.3490996398559425,300
alcohol,>4 drinks/day,>4 drinks/day,0.8714685874349739,0.8002721088435374,0.9249459783913564,0.7949499799919968,0.926530612244898,300
physical_activity,No Activity,No Activity,0.9486194477791116,0.8864825930372149,1.000984393757503,0.8833053221288515,1.0024009603841535,300
physical_activity,Some Activity,Some Activity,1.0961984793917567,1.020264105642257,1.1831692677070829,1.0183993597438974,1.1883953581432571,300
sleep_duration,1-<5 hours,1-5 h sleep,0.8336934773909563,0.7507482993197279,0.9270188075230092,0.7466186474589835,0.9316526610644258,300
sleep_duration,5-<7 hours,5-7 h sleep,0.979031612645058,0.920280112044818,1.036518607442977,0.9175510204081632,1.0360144057623049,300
sleep_duration,7-<9 hours,7-9 h sleep,1.1234093637454985,1.043985594237695,1.207515006002401,1.042737094837935,1.21656662665066,300
sleep_duration,>=9 hours,>=9 h sleep,0.8253701480592237,0.7699559823929572,0.909611844737895,0.7603761504601841,0.9108523409363746,300
sleep_frailty,Q1 (lowest),Q1 sleep frailty,1.0600240096038416,0.9884513805522208,1.203113245298119,0.9867146858743496,1.2108043217286917,300
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.8737094837935173,0.820720288115246,0.945986394557823,0.8119167667066827,0.9463865546218488,300
church_frequency,never,never,0.9838335334133652,0.9231612645058024,1.0595998399359745,0.920128051220488,1.0632252901160464,300
church_frequency,sometimes,sometimes,1.016486594637855,0.92890756302521,1.1900440176070424,0.9268507402961184,1.197062825130052,300
church_frequency,weekly,weekly,1.136534613845538,0.9914845938375352,1.2604161664665865,0.990876350540216,1.2815526210484194,300
education_level,no highschool,no high school,0.8900360144057622,0.8516046418567427,0.9411524609843936,0.8464985994397759,0.9422168867547018,300
education_level,some college,some college,1.07218887555022,1.0398239295718286,1.1647218887555022,1.0388875550220087,1.1711164465786317,300
