country,year,sex,hazard_type,age_mid,requested_window_start,requested_window_end,fit_age_min,fit_age_max,n_fit_points,log_mortality_slope_per_year,log_mortality_intercept,fit_rms_log_residual,mean_log_mortality_slope_per_year,slope_ratio_to_mean,slope_percent_of_mean,slope_percent_change_from_mean
SWE,2019,both,mx,55.0,50.0,60.0,50.0,60.0,11,0.11050711879461503,-11.963061715323727,0.04282040194025083,0.11182305547180822,0.9882319735260234,98.82319735260235,-1.1768026473976567
SWE,2019,both,mx,65.0,60.0,70.0,60.0,70.0,11,0.09894506184779978,-11.25210082046731,0.03423646262049007,0.11182305547180822,0.8848359708141303,88.48359708141304,-11.516402918586966
SWE,2019,both,mx,75.0,70.0,80.0,70.0,80.0,11,0.11284200591069952,-12.246983085597957,0.019807179605381593,0.11182305547180822,1.0091121677420825,100.91121677420824,0.9112167742082455
SWE,2019,both,mx,85.0,80.0,90.0,80.0,90.0,11,0.13282068585121443,-13.83017774441191,0.015758569665578644,0.11182305547180822,1.1877755020269494,118.77755020269494,18.777550202694936
SWE,2019,both,mx,95.0,90.0,100.0,90.0,100.0,11,0.10400040495471237,-11.207285946381756,0.01867086808267573,0.11182305547180822,0.9300443858908146,93.00443858908146,-6.995561410918539
