focal_value,x_mean,x_low,x_high,y_mean,y_low,y_high,n_scenarios,focal_param,curve_type
0.7,1.3811556177022448,1.3700199467925502,1.3911280179279515,0.9711494364854938,0.9569059033161313,0.9842278947930364,9,eta,parameter_factor
0.8,1.2243911180400984,1.216879386053788,1.2303199074997966,0.9801487122194165,0.9657802257345961,0.9911377277939349,11,eta,parameter_factor
0.9,1.100158929141018,1.0968497783312336,1.1034607551833013,0.9901498119215891,0.9790181696317707,1.003024591682103,11,eta,parameter_factor
1.0,0.9998433434757128,0.9991470615330766,1.0003084703560081,0.9980110269053274,0.9881694424209273,1.0070041164631567,11,eta,parameter_factor
1.1,0.9172299791197173,0.9153973405270937,0.9195910559299122,1.0057532050020923,0.9962619804468654,1.014859827581768,11,eta,parameter_factor
1.2,0.8477194043251302,0.8447030163398188,0.8517940180136481,1.012189736637126,1.0035876282161396,1.0226493594862904,11,eta,parameter_factor
1.3,0.7884760064362027,0.7846008073633254,0.7939654872643385,1.0195092642355261,1.0061004515305645,1.0322702005026685,11,eta,parameter_factor
1.4,0.7370898661769348,0.7326379637247507,0.7434587998323724,1.0249890702915136,1.004788570500589,1.050020514542918,11,eta,parameter_factor
0.6,0.5635858899054925,0.5400143290456335,0.5824606640478824,0.6424045026728922,0.6078301646040167,0.7010442099601116,11,beta,parameter_factor
0.7,0.6695944210705685,0.6482455387288216,0.6860914835842351,0.7205478264413373,0.7006534920508756,0.7445983048491236,11,beta,parameter_factor
0.8,0.7785155386577055,0.7626488594017335,0.7903101099520711,0.8098617444967527,0.7985750320003414,0.8178269120162611,11,beta,parameter_factor
0.9,0.8888899294730177,0.8801529335666938,0.8950354104034296,0.903695075154017,0.8944484541818963,0.9114014929531681,11,beta,parameter_factor
1.0,0.999699302291162,0.9989381234897513,1.000485806437253,1.0002371796417784,0.9954597211343862,1.0074776327118027,11,beta,parameter_factor
1.1,1.1113614799163654,1.1044624794358593,1.1206571595843418,1.0935460323630393,1.0871984840439373,1.0993174620553054,11,beta,parameter_factor
1.2,1.2229594240701436,1.2100017519587776,1.2413151613210585,1.1908784019890584,1.1745752759765833,1.2033260445589187,11,beta,parameter_factor
1.3,1.335207752828272,1.3149351394553077,1.3638763486436958,1.284887896188683,1.2623313330947916,1.3001338042183122,9,beta,parameter_factor
1.4,1.447228507895474,1.419993667923944,1.4857738999648546,1.3745399771985587,1.3557040808281204,1.3874484914750296,9,beta,parameter_factor
0.6,0.687734921089919,0.6025935269548517,0.7591801103107139,0.4768531608863704,0.4425134548094645,0.5226828992212526,11,Xc,parameter_factor
0.7,0.7959165357831757,0.7298150761804592,0.8476731878701093,0.5919313891423357,0.5699781276082428,0.6135154727235723,11,Xc,parameter_factor
0.8,0.8813801549792991,0.8389334179314258,0.9129229875567468,0.7256292452962974,0.7024495658014657,0.7487534711165768,11,Xc,parameter_factor
0.9,0.9475578475559391,0.9278916738356937,0.9615869924041796,0.8622685899547026,0.8436519155350257,0.8749756100768229,11,Xc,parameter_factor
1.0,0.9998663891869618,0.9987432635127349,1.0003978828509847,1.0005339315086028,0.9917312808013973,1.010881576449725,11,Xc,parameter_factor
1.1,1.0418087243551701,1.02993123226597,1.05802748965698,1.1317733506820007,1.1110022013455438,1.1515960662107423,11,Xc,parameter_factor
1.2,1.076438399590533,1.054956389715592,1.1067550399127946,1.259031426897855,1.2242886556401709,1.296135324195898,11,Xc,parameter_factor
1.3,1.1047208431159132,1.0757567611628085,1.146122816277927,1.383731043853765,1.3238160381117732,1.4543151765752653,11,Xc,parameter_factor
1.4,1.1287753400132436,1.0935331610419323,1.179482269190062,1.497723066487066,1.4155279249346546,1.5850580834241594,11,Xc,parameter_factor
0.6,1.113620094256196,1.0758110558353862,1.167964763218643,1.6811223784660847,1.5931948649462442,1.7908081773441695,11,epsilon,parameter_factor
0.7,1.0870712018694078,1.0578914890637725,1.1279526964320636,1.4534485752989466,1.3951643478903804,1.5164053534560982,11,epsilon,parameter_factor
0.8,1.0591096732978817,1.0387137735542233,1.0870194485177171,1.2726053158987982,1.2394053333994153,1.3054658958628675,11,epsilon,parameter_factor
0.9,1.029835913563949,1.0198284193513647,1.0440172779617887,1.123394459446995,1.1083439241437727,1.1386527335090855,11,epsilon,parameter_factor
1.0,0.9997572770830762,0.9988463755304032,1.0006737034758173,0.9998505525610543,0.9931730594208589,1.0070294998010763,11,epsilon,parameter_factor
1.1,0.9694229665306063,0.9563592234207461,0.9791620525587448,0.8940667021660229,0.8816576736888645,0.905408861996988,11,epsilon,parameter_factor
1.2,0.937529905243133,0.9108299480230512,0.9563305207491101,0.8060883429193116,0.7932037329302662,0.8185177174695586,11,epsilon,parameter_factor
1.3,0.9061612974272556,0.8669024925799372,0.9351116898846705,0.7319395508033559,0.7145371794989327,0.7498957525690935,11,epsilon,parameter_factor
1.4,0.8746953383755371,0.8247203259588276,0.9126061667268694,0.6664737526901401,0.6462585256648057,0.6891211730666981,11,epsilon,parameter_factor
0.0001,0.9988341020041837,0.9981719420942131,0.9998287499695393,0.9914485447545744,0.9832418300629681,1.00344782541072,11,h_ext,h_ext_absolute
0.00016681005372,0.99819965014431,0.9976469278986841,0.9987583882654752,0.9858347824797792,0.9787812172093129,0.9937172861853236,11,h_ext,h_ext_absolute
0.0002782559402207,0.9969354376823873,0.9953042564190306,0.9980238233683785,0.9713206531715257,0.963067870170624,0.9856066203919984,11,h_ext,h_ext_absolute
