focal_param,curve_type,polygon_order,x,y
h_ext,h_ext_absolute,0,1.0014175551522475,0.9935073434591899
h_ext,h_ext_absolute,1,1.0011552279305234,0.9911862175328503
h_ext,h_ext_absolute,2,0.9994904591465004,0.9857130204468012
h_ext,h_ext_absolute,3,1.0001443279141946,0.9709570146593508
h_ext,h_ext_absolute,4,0.9981334950522447,0.9545424979729127
h_ext,h_ext_absolute,5,0.9963860354871384,0.9274310247026473
h_ext,h_ext_absolute,6,0.9946289627675664,0.878104047313591
h_ext,h_ext_absolute,7,0.9908704221865046,0.796642875986216
h_ext,h_ext_absolute,8,0.9886457712264201,0.673171753341963
h_ext,h_ext_absolute,9,0.9761917020128834,0.49881579809942295
h_ext,h_ext_absolute,10,0.9645592612297209,0.44372837580363866
h_ext,h_ext_absolute,11,0.8543844166381522,0.46699325736996367
h_ext,h_ext_absolute,12,0.8660168574213147,0.522080679665748
h_ext,h_ext_absolute,13,0.9248112976266853,0.6851342844173265
h_ext,h_ext_absolute,14,0.9594574370675542,0.8011999475390649
h_ext,h_ext_absolute,15,0.9768760222034272,0.88034017218159
h_ext,h_ext_absolute,16,0.9864631206222562,0.928603395546013
h_ext,h_ext_absolute,17,0.9912725297171334,0.9554156344768863
h_ext,h_ext_absolute,18,0.9937265474505801,0.9716842916837006
h_ext,h_ext_absolute,19,0.9969088411421196,0.9859565445127572
h_ext,h_ext_absolute,20,0.9965129760778441,0.9917108719762986
h_ext,h_ext_absolute,21,0.9967753032995682,0.9940319979026382
Xc,parameter_factor,0,0.5556754453530263,0.47277377446640245
Xc,parameter_factor,1,0.6196654900114886,0.5408432055448328
Xc,parameter_factor,2,0.744113791544383,0.6322542141760449
Xc,parameter_factor,3,0.839202284577173,0.7492882444142146
Xc,parameter_factor,4,0.92420579966675,0.8723335191981793
Xc,parameter_factor,5,0.9956412463277091,1.002011543325225
Xc,parameter_factor,6,1.021241804028397,1.137865674458135
Xc,parameter_factor,7,1.0391801004846657,1.2683345702496782
Xc,parameter_factor,8,1.0504513207848498,1.3956305002482077
Xc,parameter_factor,9,1.06258638466752,1.5116902019428775
Xc,parameter_factor,10,1.0765535201233316,1.577879157288601
Xc,parameter_factor,11,1.2089314308147787,1.549944886376978
Xc,parameter_factor,12,1.1949642953589672,1.4837559310312545
Xc,parameter_factor,13,1.1589903654469766,1.3718315874593225
Xc,parameter_factor,14,1.1136966986964,1.249728283546032
Xc,parameter_factor,15,1.0623756446819432,1.1256810269058664
Xc,parameter_factor,16,1.0040915320462145,0.9990563196919807
Xc,parameter_factor,17,0.9709098954451282,0.8522036607112259
Xc,parameter_factor,18,0.9235580253814252,0.7019702461783801
Xc,parameter_factor,19,0.8477192800219684,0.5516085641086265
Xc,parameter_factor,20,0.7558043521683493,0.41286311622790806
Xc,parameter_factor,21,0.6918143075098869,0.3447936851494777
beta,parameter_factor,0,0.4780272421663033,0.655350934652567
beta,parameter_factor,1,0.5272797820257353,0.6916570425323242
beta,parameter_factor,2,0.6498699774876582,0.7458639470517969
beta,parameter_factor,3,0.7664429476726893,0.8243171348801883
beta,parameter_factor,4,0.8806000330932917,0.9133265198832299
beta,parameter_factor,5,0.9957926969391254,1.004815026192644
beta,parameter_factor,6,1.1043071014893624,1.1018074218321996
beta,parameter_factor,7,1.2071575937261567,1.2093645856028592
beta,parameter_factor,8,1.3126423157159526,1.3124425433789035
beta,parameter_factor,9,1.4229901027648695,1.404825994140608
beta,parameter_factor,10,1.4532761197069188,1.4290643992712126
beta,parameter_factor,11,1.501752929968128,1.368492365387114
beta,parameter_factor,12,1.4714669130260787,1.3442539602565093
beta,parameter_factor,13,1.3577731899405914,1.2573332489984623
beta,parameter_factor,14,1.2387612544141304,1.1723922183752575
beta,parameter_factor,15,1.1184158583433683,1.085284642893879
beta,parameter_factor,16,1.0036059076431987,0.9956593330909127
beta,parameter_factor,17,0.8971798258527437,0.8940636304248042
beta,parameter_factor,18,0.7905881296427217,0.7954063541133172
beta,parameter_factor,19,0.6893188646534789,0.6952317058308777
beta,parameter_factor,20,0.5998919977852497,0.5931519628134602
beta,parameter_factor,21,0.5506394579258177,0.556845854933703
epsilon,parameter_factor,0,1.1875780658064043,1.7396332458657107
epsilon,parameter_factor,1,1.1798545137311132,1.6733988263907935
epsilon,parameter_factor,2,1.1354912141598001,1.4469876572746931
epsilon,parameter_factor,3,1.0917938506832694,1.266937492878774
epsilon,parameter_factor,4,1.046546274898016,1.1197582260237713
epsilon,parameter_factor,5,1.0023826907180222,0.9991589268426975
epsilon,parameter_factor,6,0.9848778971486511,0.8891033002926247
