series,age,value,value_low,value_high,n_sim,dt,random_seed
survival,108.0,0.0119375,,,160000,0.05,20260604
survival,109.0,0.0085875,,,160000,0.05,20260604
survival,110.0,0.00598125,,,160000,0.05,20260604
survival,111.0,0.0040625,,,160000,0.05,20260604
survival,112.0,0.0028,,,160000,0.05,20260604
survival,113.0,0.00184375,,,160000,0.05,20260604
survival,114.0,0.001125,,,160000,0.05,20260604
survival,115.0,0.00075,,,160000,0.05,20260604
survival,116.0,0.000375,,,160000,0.05,20260604
survival,117.0,0.00020625,,,160000,0.05,20260604
survival,118.0,0.0001125,,,160000,0.05,20260604
survival,119.0,5e-05,,,160000,0.05,20260604
survival,120.0,2.5e-05,,,160000,0.05,20260604
mortality,40.5,0.00043349764860540737,0.00033144786724831294,0.0005355474299625018,160000,0.05,20260604
mortality,41.5,0.0004669650223659189,0.000361108249882105,0.0005728217948497328,160000,0.05,20260604
mortality,42.5,0.0005179809590106484,0.00040649462139840905,0.0006294672966228876,160000,0.05,20260604
mortality,43.5,0.0005800063876285487,0.0004620578188725018,0.0006979549563845956,160000,0.05,20260604
mortality,44.5,0.0006601607680884724,0.0005343598394002811,0.0007859616967766637,160000,0.05,20260604
mortality,45.5,0.0007608818860739855,0.0006258541054432985,0.0008959096667046726,160000,0.05,20260604
mortality,46.5,0.000888059446700232,0.0007422106707791348,0.001033908222621329,160000,0.05,20260604
mortality,47.5,0.0010275709371778982,0.0008704640083656862,0.00118467786599011,160000,0.05,20260604
mortality,48.5,0.0011572141226616137,0.0009902869618770842,0.001324141283446143,160000,0.05,20260604
mortality,49.5,0.0013196290948828218,0.001141499905052649,0.0014977582847129948,160000,0.05,20260604
mortality,50.5,0.0015533120675964387,0.0013600801823700067,0.0017465439528228704,160000,0.05,20260604
mortality,51.5,0.0018231001655447212,0.0016134622467187977,0.0020327380843706447,160000,0.05,20260604
mortality,52.5,0.002118611685643478,0.0018923999755608113,0.002344823395726145,160000,0.05,20260604
mortality,53.5,0.0024418024588107635,0.0021985051296462303,0.0026850997879752972,160000,0.05,20260604
mortality,54.5,0.0027297614385189697,0.0024719269038036545,0.002987595973234285,160000,0.05,20260604
mortality,55.5,0.003043183258572055,0.002770762917936594,0.0033156035992075164,160000,0.05,20260604
mortality,56.5,0.003486541278418884,0.0031946722826200497,0.0037784102742177183,160000,0.05,20260604
mortality,57.5,0.003988380983220867,0.003675417683312289,0.004301344283129446,160000,0.05,20260604
mortality,58.5,0.00446752531733189,0.004135395932202139,0.00479965470246164,160000,0.05,20260604
mortality,59.5,0.0049614226927347195,0.004610642760881129,0.00531220262458831,160000,0.05,20260604
mortality,60.5,0.005561927433267717,0.005189747246869905,0.00593410761966553,160000,0.05,20260604
mortality,61.5,0.006266634703465926,0.005870427148048939,0.006662842258882914,160000,0.05,20260604
mortality,62.5,0.007012770621510194,0.006592220517024275,0.007433320725996113,160000,0.05,20260604
mortality,63.5,0.007856745774580058,0.0074101060223218575,0.00830338552683826,160000,0.05,20260604
mortality,64.5,0.00884639120506839,0.008370587114488738,0.009322195295648043,160000,0.05,20260604
mortality,65.5,0.009900808394128,0.009395019633466405,0.010406597154789591,160000,0.05,20260604
mortality,66.5,0.010968285853762489,0.010433138161908021,0.011503433545616957,160000,0.05,20260604
mortality,67.5,0.012106663085084046,0.011541255279180795,0.012672070890987297,160000,0.05,20260604
