curve_id,param,heterogeneity_cv,age,ci_lower,ci_upper
eta_5,eta,0.05,104,0.03161592505854801,0.04414793531326282
eta_5,eta,0.05,105,0.022271979239192354,0.032317941415785194
eta_5,eta,0.05,106,0.015412367871384265,0.022954383645240033
eta_5,eta,0.05,107,0.01055446547249826,0.01623525223759154
eta_5,eta,0.05,108,0.007089056269384138,0.011214155446044004
eta_5,eta,0.05,109,0.00482573726541555,0.007728325119966887
eta_5,eta,0.05,110,0.0031931495338321796,0.005367790669098341
eta_5,eta,0.05,111,0.00220079228522268,0.0035440352851396273
eta_5,eta,0.05,112,0.0014325157056540355,0.002269993403437973
eta_5,eta,0.05,113,0.0009098677131464017,0.001531987388120423
eta_5,eta,0.05,114,0.00048262548262548264,0.0010425142392188772
eta_5,eta,0.05,115,0.0002531805810494335,0.0007246745321399512
eta_5,eta,0.05,116,0.00015823786315589594,0.0004386187957689178
eta_5,eta,0.05,117,0.00011076650420912716,0.00025868870694449836
eta_5,eta,0.05,118,5.602016726021368e-05,0.00015931949793577345
eta_5,eta,0.05,119,3.8344734501058313e-05,0.00011083095508575545
eta_5,eta,0.05,120,1.5337893800423325e-05,6.467217673612459e-05
eta_5,eta,0.05,121,0.0,4.2711314227138767e-05
eta_5,eta,0.05,122,0.0,3.463467346429858e-05
eta_5,eta,0.05,123,0.0,3.463467346429858e-05
eta_5,eta,0.05,124,0.0,3.463467346429858e-05
eta_5,eta,0.05,125,0.0,1.385386938571943e-05
beta_5,beta,0.05,90,1.0,1.0
beta_5,beta,0.05,91,0.8557529409901994,0.874389546394474
beta_5,beta,0.05,92,0.724251492265552,0.7566356385486132
beta_5,beta,0.05,93,0.6024557070251271,0.6457137828953571
beta_5,beta,0.05,94,0.49759337544926296,0.5451248562252126
beta_5,beta,0.05,95,0.4041801268828085,0.4529581466094291
beta_5,beta,0.05,96,0.32252364457245164,0.3716837520348453
beta_5,beta,0.05,97,0.25413925972054646,0.30088056164874327
beta_5,beta,0.05,98,0.19661386369828357,0.23947379999120066
beta_5,beta,0.05,99,0.14868641264157553,0.1877085912899191
beta_5,beta,0.05,100,0.11053594364223719,0.14534609655380476
beta_5,beta,0.05,101,0.08185108784493832,0.1102241943897978
beta_5,beta,0.05,102,0.05914451406998015,0.0820851900969812
beta_5,beta,0.05,103,0.04170007395010314,0.0604074090369132
beta_5,beta,0.05,104,0.028661503133149108,0.04367610918713035
beta_5,beta,0.05,105,0.019390495465691045,0.031118206444881617
beta_5,beta,0.05,106,0.013155334137702876,0.021174962131449437
beta_5,beta,0.05,107,0.008375822208383607,0.014361765648667844
beta_5,beta,0.05,108,0.005433386525512785,0.009911818130393518
beta_5,beta,0.05,109,0.0033705678589499087,0.006423511813102204
beta_5,beta,0.05,110,0.0020861713307126456,0.00398484000930215
beta_5,beta,0.05,111,0.0012454754213209825,0.0025392355895237674
beta_5,beta,0.05,112,0.0006616588175767719,0.0015210272590711678
beta_5,beta,0.05,113,0.00040477951192931927,0.0009427854911598147
beta_5,beta,0.05,114,0.0002555833690398334,0.0005342451116572283
beta_5,beta,0.05,115,0.00013233176351535437,0.0003016913571711407
beta_5,beta,0.05,116,6.0137263303490214e-05,0.00021369804466289135
beta_5,beta,0.05,117,1.556844276651228e-05,8.799331250824938e-05
beta_5,beta,0.05,118,7.78422138325614e-06,6.913760268505308e-05
beta_5,beta,0.05,119,0.0,4.399665625412469e-05
beta_5,beta,0.05,120,0.0,1.8855709823196293e-05
beta_5,beta,0.05,121,0.0,6.826590937017872e-06
beta_5,beta,0.05,122,0.0,6.826590937017872e-06
beta_5,beta,0.05,123,0.0,0.0
beta_5,beta,0.05,124,0.0,0.0
beta_5,beta,0.05,125,0.0,0.0
