scenario_id,analysis,mode,distribution,cv_requested,favorable_cutoff,rho,delta,n,top_0_01pct_lifespan,top_0_01pct_censored,q9999_tau,q9999_tau_factor,q999_tau_factor,tau_cv,eta_cv_actual,beta_cv_actual,eta_q0001_factor,beta_q9999_factor,conditional_survival_100_from90,conditional_survival_105_from90,conditional_survival_110_from90,factor_mean,factor_cv,eta_factor_mean,eta_factor_cv,beta_factor_mean,beta_factor_cv
baseline,baseline,baseline,fixed,0.0,,,0.0,200000,105.8,False,98.61640439041227,1.0,1.0,0.0,0.0,1.2277888374267895e-16,1.0,1.0,0.035029081243256,0.001263257625602,0.0,,,,,,
family__eta_only__gaussian__cv0.025,distribution_family,eta_only,gaussian,0.025,,,0.0,200000,107.6,False,108.60496151823273,1.1012869733951847,1.0834924353628363,0.025056760804448998,0.025010667621333752,1.2277888374267895e-16,0.9080285376687214,1.0,0.051712267639034,0.0043093556365861,0.000127495728893,0.9999205769197816,0.025010667621333752,,,,
family__eta_only__gaussian__cv0.050,distribution_family,eta_only,gaussian,0.05,,,0.0,200000,114.70001000000047,False,120.79585686402531,1.2249063186871714,1.1813259726768852,0.05041015272113814,0.05002287471842463,1.2277888374267895e-16,0.8163889637023571,1.0,0.1068937550689375,0.0215270536438419,0.0032672923183872,0.9999541704081429,0.050022874718424634,,,,
family__eta_only__gaussian__cv0.075,distribution_family,eta_only,gaussian,0.075,,,0.0,200000,122.00002000000094,False,135.61174449295757,1.3751438752125307,1.29993275741952,0.07633350406371175,0.07502787569669252,1.2277888374267895e-16,0.7271966359661625,1.0,0.1887751925112601,0.061977209987754,0.0185350463895058,1.0000089696640369,0.07502787569669253,,,,
family__eta_only__gaussian__cv0.100,distribution_family,eta_only,gaussian,0.1,,,0.0,200000,136.4,False,157.91658455714995,1.6013216617792545,1.4549315302035548,0.10317103211751709,0.09996857713033387,1.2277888374267895e-16,0.6244841521431679,1.0,0.282779216360784,0.1311735687149148,0.0565709641446311,1.0000788999109553,0.09996857713033389,,,,
family__eta_only__gaussian__cv0.125,distribution_family,eta_only,gaussian,0.125,,,0.0,200000,157.00007000000332,False,187.60290949311164,1.9023499249720246,1.6405412560353307,0.13167448656966288,0.12493411597446291,1.2277888374267895e-16,0.5256656449450239,1.0,0.3654427345676868,0.2029735644561781,0.1106575884948066,1.0001470851792156,0.1249341159744629,,,,
family__eta_only__lognormal__cv0.025,distribution_family,eta_only,lognormal,0.025,,,0.0,200000,108.40001000000048,False,108.2918727371154,1.0981121589913068,1.0810535897922715,0.025033180609799217,0.025032004816922304,1.2277888374267895e-16,0.9106537905308896,1.0,0.0513163540904157,0.0040386702678143,0.0001262084458691,1.0000349455236637,0.0250320048169223,,,,
family__eta_only__lognormal__cv0.050,distribution_family,eta_only,lognormal,0.05,,,0.0,200000,113.50001000000049,False,118.46963795136982,1.2013177592884103,1.1693810378987968,0.05015095907423427,0.05014073092297935,1.2277888374267895e-16,0.832419226529198,1.0,0.1045238205258537,0.0201469433020655,0.0029573494755325,1.0000348367966985,0.050140730922979354,,,,
family__eta_only__lognormal__cv0.075,distribution_family,eta_only,lognormal,0.075,,,0.0,200000,119.7,False,130.19806332918478,1.3202475200144588,1.2651051703179113,0.07503314266732179,0.0750493149115824,1.2277888374267895e-16,0.7574337272955453,1.0,0.1819306165357739,0.0571187104487456,0.0140580875229319,0.9998534729122636,0.0750493149115824,,,,
family__eta_only__lognormal__cv0.100,distribution_family,eta_only,lognormal,0.1,,,0.0,200000,128.3000100000005,False,143.506185853899,1.4551958849135556,1.3652151288907743,0.09988887760640605,0.09990054696488027,1.2277888374267895e-16,0.6871927074406969,1.0,0.2645938260821083,0.1107105023509952,0.0412028174772799,1.0002331647920795,0.09990054696488025,,,,
