age,survival,ci_lower,ci_upper
0.0,1.0,1.0,1.0
0.13785595373793133,0.9996623094995731,0.995049504950495,1.0
0.27571190747586266,0.9992178947641037,0.995049504950495,1.0
0.41356786121379396,0.9987637855668887,0.9900990099009901,1.0
0.5514238149517253,0.9983030126425019,0.9900990099009901,1.0
0.6892797686896567,0.9978386067255178,0.9900990099009901,1.0
0.8271357224275879,0.9973735985505106,0.9900990099009901,1.0
0.9649916761655193,0.996911018852054,0.9851485148514851,1.0
1.1028476299034506,0.9964538983647224,0.9851485148514851,1.0
1.240703583641382,0.9960052678230904,0.9851485148514851,1.0
1.3785595373793134,0.9955681579617317,0.9851485148514851,1.0
1.5164154911172447,0.9951455995152205,0.9851485148514851,1.0
1.6542714448551759,0.9947405864763352,0.9851485148514851,1.0
1.7921273985931072,0.9943531299919017,0.9850247524752476,1.0
1.9299833523310386,0.99397810411782,0.9801980198019802,1.0
2.06783930606897,0.9936098749914044,0.9801980198019802,1.0
2.2056952598069013,0.9932428087499694,0.9801980198019802,1.0
2.3435512135448326,0.9928712715308301,0.9801980198019802,1.0
2.481407167282764,0.9924896294713009,0.9801980198019802,1.0
2.6192631210206954,0.9920922487086961,0.9801980198019802,1.0
2.7571190747586267,0.9916734953803301,0.9752475247524752,1.0
2.894975028496558,0.9912277356235178,0.9752475247524752,1.0
3.0328309822344894,0.9907493355755739,0.9752475247524752,1.0
3.170686935972421,0.9902326613738125,0.9752475247524752,1.0
3.3085428897103517,0.9896722483605073,0.9752475247524752,1.0
3.446398843448283,0.9890652855193056,0.9752475247524752,1.0
3.5842547971862144,0.9884110687740048,0.9702970297029703,1.0
3.722110750924146,0.9877089520857034,0.9702970297029703,1.0
3.859966704662077,0.9869582894155,0.9702970297029703,1.0
3.9978226584000085,0.9861584347244929,0.9702970297029703,1.0
4.13567861213794,0.9853087419737812,0.9653465346534653,1.0
4.273534565875871,0.9844085651244628,0.9653465346534653,1.0
4.411390519613803,0.9834572581376366,0.9653465346534653,1.0
4.549246473351734,0.9824541749744008,0.9603960396039604,0.995049504950495
4.687102427089665,0.9813986695958543,0.9603960396039604,0.995049504950495
4.824958380827597,0.9802900959630954,0.9603960396039604,0.995049504950495
4.962814334565528,0.9791282587904848,0.9554455445544554,0.995049504950495
5.100670288303459,0.9779155361594501,0.9554455445544554,0.995049504950495
5.238526242041391,0.9766552179417951,0.9554455445544554,0.995049504950495
5.376382195779322,0.9753505950777763,0.9554455445544554,0.995049504950495
5.514238149517253,0.9740049585076493,0.9504950495049505,0.995049504950495
5.652094103255185,0.9726215991716705,0.9504950495049505,0.9900990099009901
5.789950056993116,0.9712038080100958,0.9504950495049505,0.9900990099009901
5.9278060107310475,0.9697548759631816,0.9455445544554455,0.9900990099009901
