panel,param,value,scenario_id,n_sim,seed_method,max_lifespan,heterogeneity_percent
heterogeneity,Xc,0.15,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.6,15.0
heterogeneity,Xc,0.16,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,109.8000100000063,16.0
heterogeneity,Xc,0.17,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.2,17.0
heterogeneity,Xc,0.18,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.4,18.0
heterogeneity,Xc,0.19,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,110.9,19.0
heterogeneity,Xc,0.2,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,111.0,20.0
heterogeneity,epsilon,0.0,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3,0.0
heterogeneity,epsilon,0.01,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4,1.0
heterogeneity,epsilon,0.02,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3000100000063,2.0
heterogeneity,epsilon,0.03,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.2,3.0
heterogeneity,epsilon,0.04,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.5,4.0
heterogeneity,epsilon,0.05,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4,5.0
heterogeneity,epsilon,0.06,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.2,6.0
heterogeneity,epsilon,0.07,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6,7.000000000000001
heterogeneity,epsilon,0.08,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7,8.0
heterogeneity,epsilon,0.09,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.8,9.0
heterogeneity,epsilon,0.1,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6000100000063,10.0
heterogeneity,epsilon,0.11,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7,11.0
heterogeneity,epsilon,0.12,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0,12.0
heterogeneity,epsilon,0.13,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.8,13.0
heterogeneity,epsilon,0.14,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9,14.000000000000002
heterogeneity,epsilon,0.15,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0,15.0
heterogeneity,epsilon,0.16,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.1,16.0
heterogeneity,epsilon,0.17,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.2,17.0
heterogeneity,epsilon,0.18,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.3,18.0
heterogeneity,epsilon,0.19,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.4,19.0
heterogeneity,epsilon,0.2,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.5,20.0
