parameter,estimate,ci95_lower,ci95_upper,log2_estimate,log2_se
epsilon,42.391863695049786,41.874731664840965,42.91538204765486,-0.22999999999999998,0.009034412290694512
Xc,16.822467429382066,16.63122956548374,17.015904284067233,-0.37,0.008415558805260766
xc_std_frac,0.16245047927124714,0.16010436863154234,0.16483096895495167,0.2,0.010707819396912278
h_ext,0.002,0.0019700168048747578,0.00203043953234414,1.0,0.01111839980344883
