group,n,n_d,min_age,0.50,t_median_absolute,t_median_relative,steepness_iqr_absolute,steepness_iqr_relative,steepness_cv_absolute,steepness_cv_relative
Low (0-3),136,34,40.33333333,78.83333333,78.83333333,38.5,3.4399999993541823,1.6799999997556365,5.148566644225701,2.383913443913182
Medium (4-6),429,93,40.08333333,82.83333333333333,82.83333333333333,42.75000000333333,5.15025906735751,2.6580310882901537,7.365051107060303,3.7212582547851225
High (7-9),138,25,40.5,88.83333333333333,88.83333333333333,48.33333333333333,10.554455445544548,5.742574257425739,12.733296034448601,6.793002007911318
