group,n,n_d,t25,t50_median_absolute,t75,steepness_iqr_absolute,baseline_t50_from40,baseline_steepness_iqr_from40,x_median_norm_to_nhanes_baseline40,y_steepness_norm_to_nhanes_baseline40
Low (0-3),136,34,86.75,78.83333333,63.83333333,3.4399999993541823,82.41666666666667,4.896039603960394,0.9565217390899898,0.7026086955202681
Medium (4-6),429,93,90.16666666666667,82.83333333333333,74.08333333333333,5.15025906735751,82.41666666666667,4.896039603960394,1.005055611729019,1.0519234899961754
High (7-9),138,25,92.66666666666667,88.83333333333333,84.25,10.554455445544548,82.41666666666667,4.896039603960394,1.0778564206268957,2.1557128412537914
