year,xc_factor,h_ext,Median,Top 10%,Top 1%,Top 0.01%,source
1900,0.8681681681681683,0.006561840531097124,70.42916666666667,84.567,92.57142857142857,100.94500000000001,observed_mapped
1910,0.8645645645645648,0.00553831407921907,71.26314655172413,84.77592857142858,92.46290624999999,100.65513,observed_mapped
1920,0.8945945945945948,0.005530439424248476,73.01000000000002,86.32767441860466,93.88783333333333,102.37758,observed_mapped
1930,0.8513513513513515,0.003626988339200034,72.06994680851064,84.62118421052631,92.15254166666666,99.957995,observed_mapped
1940,0.8501501501501503,0.0021299383846392354,73.18793604651162,84.97592741935483,92.281575,99.91029750000001,observed_mapped
1950,0.8597597597597599,0.0009552694173361913,74.6622311827957,85.8920918367347,93.06291666666667,100.35128750000001,observed_mapped
1960,0.8741741741741744,0.0006007845972574856,75.80404411764707,86.69918103448276,93.78835416666666,101.33741,observed_mapped
1970,0.8645645645645648,0.000568125011609746,75.21659292035397,86.16642857142857,93.3135357142857,101.58658,observed_mapped
1980,0.865765765765766,0.0005022547564026774,75.36636597938144,86.33859375,93.40458333333333,100.72412500000002,observed_mapped
1990,0.895795795795796,0.0004480740255292959,77.1210396039604,87.82712962962964,94.63797368421054,102.27943,observed_mapped
2000,0.9282282282282284,0.0003418303475980117,78.98690476190475,89.39421052631579,96.26122727272727,103.076735,observed_mapped
2010,0.9702702702702706,0.00035065210762628437,81.08368055555556,91.2755603448276,97.87455,105.30673,observed_mapped
2020,1.002702702702703,0.0003694400490616653,82.51249999999999,92.434375,98.82965909090909,106.1767625,observed_mapped
2030,1.0370570570570585,0.00030741915786153224,83.97420634920636,93.72644927536231,100.14562500000001,107.18017499999999,extrapolated_1980_2020
2040,1.0718918918918927,0.0002821029190310411,85.40452127659576,94.9117578125,101.2244423076923,108.5099925,extrapolated_1980_2020
2050,1.106726726726727,0.0002588714948002012,86.64588926174497,95.96626623376623,102.23047727272727,109.20541,extrapolated_1980_2020
2060,1.1415615615615602,0.00023755319884767535,87.81854838709678,97.04325757575758,103.1082,109.55492,extrapolated_1980_2020
2070,1.1763963963963944,0.00021799048337213655,88.8720108695652,97.91238970588235,104.02953571428571,110.581405,extrapolated_1980_2020
2080,1.2112312312312286,0.00020003877477267067,89.98587328767123,98.87210714285715,104.90961250000001,111.601845,extrapolated_1980_2020
2090,1.2460660660660627,0.00018356540521193305,90.93237704918033,99.6221875,105.54445,111.9264175,extrapolated_1980_2020
2100,1.280900900900897,0.0001684486321660107,91.84098214285714,100.37174657534247,106.13703947368421,112.951575,extrapolated_1980_2020
