parameter,estimate,ci95_lower,ci95_upper,log2_estimate,log2_se
eta,0.5868368257640714,0.5817969572940781,0.5919203525479771,0.12,0.00634880402279495
beta,57.87173772073557,57.36423433272449,58.383731008975246,0.08,0.006483390008189294
epsilon,49.718659304628446,49.22949632019708,50.21268279837281,-0.06,0.0072777625832442855
SWE_Xc,21.74056340066893,21.4117044932479,22.07447319887841,0.05,0.011219224938773252
SWE_xc_std_frac,0.14142135623730953,0.13832240110899072,0.144589739909453,-0.49999999999999994,0.016308766456634375
USA_Xc,21.293149075590613,20.98633703040615,21.60444659296271,0.02,0.010683136870346097
USA_xc_std_frac,0.17654059925813098,0.17381356336032763,0.17931042079730852,-0.18000000000000002,0.01145884400537072
