group,n,n_d,t_median_absolute,steepness_iqr_absolute,t_median_norm_to_usa2019_from40,steepness_iqr_norm_to_usa2019_from40
Low (0-3),136,34,78.83333333,3.4399999993541823,0.9558809455046102,0.6531239304326731
Medium (4-6),429,93,82.83333333333333,5.15025906735751,1.0043823043041837,0.9778364667007425
High (7-9),138,25,88.83333333333333,10.554455445544548,1.0771343424429172,2.003885879495561
