candidate_id,label,curve,age,value,source_fit,source_script,generation_source,n_sim,dt,SWE_xc_std_frac
paper_sweden_fit,Baseline fit,hazard,75.0,0.0252578612621763,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,76.0,0.0300594969857991,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,77.0,0.0344019583458784,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,78.0,0.038000707431144,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,79.0,0.0428922086669315,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,80.0,0.0491055460121615,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,81.0,0.0539554712673193,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,82.0,0.0576458444772696,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,83.0,0.0673397152701169,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,84.0,0.0749179883548136,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,85.0,0.0840592783765799,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,86.0,0.0978128931164617,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,87.0,0.1018119110193125,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,88.0,0.1197949475421943,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,89.0,0.1294859493643723,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,90.0,0.1420168214781127,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,91.0,0.1565841517611643,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,92.0,0.1725958492522126,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,93.0,0.1872857372937901,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,94.0,0.2055385911340423,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,95.0,0.2269627557265256,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,96.0,0.2640660833166344,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,97.0,0.2626914247522738,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,98.0,0.3090302042084012,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,99.0,0.3043767460423041,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
paper_sweden_fit,Baseline fit,hazard,100.0,0.3594697820714446,results/fits/records/joint2019_tail90_sweden_emphasis.json,analysis/model_fits/hmd/joint_shared_eta_beta_epsilon_65_100_n100k_swe_tail90_usa_refit.py,hybrid2019_swe_tail90_usa_refit,1000000,0.025,0.1414213562373095
