age,ci_lower,ci_upper,candidate_id,label,source_fit,source_ci,n_sim,dt,ci_method,ci_parameters
75.0,0.0220814972616997,0.0276632797524336,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
76.0,0.0276253387954656,0.0313379926619452,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
77.0,0.0289621512697757,0.0373257749535444,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
78.0,0.0339237333283235,0.0398061253199944,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
79.0,0.0392324937359883,0.0467058772525614,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
80.0,0.0399305900696087,0.053525223914874,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
81.0,0.047231933336526,0.0574540666706565,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
82.0,0.0531142111758549,0.0662110356314481,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
83.0,0.0583827578902774,0.0744980566119753,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
84.0,0.0697134556226501,0.0808863296535488,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
85.0,0.076991809097049,0.0894055301508611,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
86.0,0.0821063564688519,0.105036204577327,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
87.0,0.0943047046921301,0.1183774329083955,paper_sweden_fit_ci_envelope,Baseline fit CI envelope,results/fits/records/joint2019_tail90_sweden_emphasis.json,results/fits/ci/joint2019_tail90_sweden_emphasis_ci.csv,1000000,0.025,all_parameter_95_ci_endpoint_envelope,"eta,beta,epsilon,Xc"
