candidate_id,start_name,tau_sd,tau_cv,screen_de_score,search_score,eval_score_mean,eval_score_sd,eval_score_min,eval_score_max,history_start,history_end,history_steps,eta,beta,kappa,epsilon,tau,tau_factor_vs_karin,eta_factor,beta_factor,kappa_factor,epsilon_factor,SWE_Xc,SWE_xc_std_frac,USA_Xc,USA_xc_std_frac,eta_log2,tau_log2,kappa_log2,epsilon_log2,SWE_Xc_log2,SWE_xc_std_log2,USA_Xc_log2,USA_xc_std_log2,best_eval_score,score_ratio_to_best,acceptance_multiplier,strict_accepted
stress_tau_sd_0.000_hybrid2019_swe_tail90_usa_refit,hybrid2019_swe_tail90_usa_refit,0.0,0.0,,0.0293698111524068,0.0104153454868315,0.0020954816346755,0.0082707331694358,0.0124579721015222,0.0710704563599176,0.0293698111524068,5,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,98.61640439041228,0.9726549474122854,1.086734862526058,1.0570180405613805,1.0,0.9592641193252642,21.74056340066893,0.0917004043204671,20.854942404177756,0.1918528238650529,0.1199999999999998,-0.0400000000000001,0.0,-0.0600000000000002,0.0500000000000001,-1.125,-0.0099999999999999,-0.0599999999999999,0.0104153454868315,1.0,2.5,True
stress_tau_sd_0.000_de_best,de_best,0.0,0.0,3.1497723045814876,0.0348452671516944,0.0109058691052027,0.0013207282517188,0.0100592657173512,0.0124277017011276,0.1327138769349524,0.0348452671516944,7,0.5868368257640714,57.871737720735574,0.4929063294367541,54.21858242944678,98.61640439041228,0.9726549474122856,1.086734862526058,1.0570180405613805,0.9858126588735084,1.0460849397925291,23.41298734239037,0.0990609234010526,22.175792770554903,0.169532906275516,0.1199999999999997,-0.04,-0.0206145880344617,0.0649999999999997,0.1569196966519833,-1.0136120257027357,0.0785963529913847,-0.2384346728750355,0.0104153454868315,1.047096240733571,2.5,True
stress_tau_sd_0.000_figS_tau_spread_constraint_source_data_full_fit_02,figS_tau_spread_constraint_source_data_full_fit_02,0.0,0.0,,0.041250490782612,0.01613480991186,0.0018886107655183,0.0139956847858743,0.0175717393148973,0.0669993395904282,0.041250490782612,2,0.5787576697695983,57.871737720735574,0.5,52.91905847540383,99.99303809446558,0.9862327044933592,1.0717734625362931,1.0570180405613805,1.0,1.0210121257071934,21.74056340066893,0.1176906737218767,21.0,0.1624504792712471,0.0999999999999999,-0.0200000000000001,0.0,0.0300000000000001,0.0500000000000001,-0.765,0.0,-0.2999999999999999,0.0104153454868315,1.5491382337974078,2.5,True
stress_tau_sd_0.000_figS_tau_spread_constraint_source_data_profile_tau_sd_0.050,figS_tau_spread_constraint_source_data_profile_tau_sd_0.050,0.0,0.0,,0.0381437539218537,0.0183985893979959,0.0052541019705014,0.0136267559434431,0.024029161981898,0.1254905870286567,0.0381437539218537,3,0.5868368257640714,57.87173772073557,0.4204482076268572,49.718659304628446,98.61640439041228,0.9726549474122854,1.086734862526058,1.0570180405613805,0.8408964152537145,0.9592641193252642,21.74056340066893,0.1542210825407941,20.854942404177756,0.1613283518444253,0.1199999999999998,-0.0400000000000001,-0.25,-0.0600000000000002,0.0500000000000001,-0.3749999999999999,-0.0099999999999999,-0.3099999999999999,0.0104153454868315,1.7664886317268864,2.5,True
stress_tau_sd_0.000_random_02,random_02,0.0,0.0,,11.20397666944094,11.277254765555334,3.106466045600334e-09,11.277254762751006,11.27725476889449,11.27725477848464,11.20397666944094,3,0.52777740700694,45.4860445626046,0.4734759154415011,142.75354766439318,86.18414497990528,0.8500354025415316,0.9773655685313702,0.8307953344767963,0.9469518308830024,2.7542648594326296,12.850376722116089,0.0629154490694909,13.368817315810256,0.0526381361500484,-0.033029813900088,-0.2344051665693847,-0.0786370536854282,1.4616673005828391,-0.7085786737514638,-1.6685137763640494,-0.651517486101555,-1.925819688919984,0.0104153454868315,1082.7537866903697,2.5,False
stress_tau_sd_0.000_baseline_tau_-2.0,baseline_tau_-2.0,0.0,0.0,,11.203976672138896,11.277254765982027,7.908670804333024e-09,11.277254756955564,11.277254771694963,11.277254782049816,11.203976672138896,10,0.54,13.6875,0.5,56.5210157840403,25.34722222222222,0.25,1.0,0.25,1.0,1.0905077326652577,12.486674707528572,0.2,15.506674532364745,0.2,0.0,-2.0,0.0,0.125,-0.75,0.0,-0.4375,0.0,0.0104153454868315,1082.7537867313372,2.5,False
stress_tau_sd_0.000_random_09,random_09,0.0,0.0,,11.277254778494004,11.277254779815015,1.1998386508178928e-10,11.277254779692973,11.277254779932829,11.277254782092308,11.277254778494004,13,1.3446117332179677,40.617100117934925,0.4204502032958221,48.02155693818572,30.207307518229666,0.2979350878510323,2.490021728181421,0.7418648423367109,0.8409004065916443,0.9265204888710346,20.119005936664696,0.0990609234010526,9.29563673373446,0.1848769452346646,1.316158331451113,-1.7469300549261764,-0.249993152224617,-0.1101052148401102,-0.0618303033480166,-1.0136120257027357,-1.175763732336668,-0.1134346728750355,0.0104153454868315,1082.7537880594723,2.5,False
stress_tau_sd_0.000_baseline_tau_-1.0,baseline_tau_-1.0,0.0,0.0,,11.277254781889622,11.277254781951688,3.2218894677544684e-12,11.27725478194882,11.277254781955175,12.891755144555058,11.277254781889622,13,0.551824460273223,13.98721722220322,0.5,51.83,25.34722222222222,0.25,1.0218971486541166,0.2554742871635291,1.0,1.0,20.109668894670047,0.2,16.910148485467168,0.2,0.03125,-2.0,0.0,0.0,-0.0625,0.0,-0.3125,0.0,0.0104153454868315,1082.7537882646193,2.5,False
stress_tau_sd_0.000_random_17,random_17,0.0,0.0,,8.943708818592714,12.035545130246147,2.308643316229419,10.6726022250449,14.70110930735386,12.67789070037685,8.943708818592714,6,0.8676244012529845,58.33978081380604,0.3735803055373839,26.225724288068335,67.24082532666708,0.6631971813041136,1.6067118541721934,1.0655667728549048,0.7471606110747679,0.5059950663335585,16.060686039788823,0.0626869188897692,26.36914937660904,0.2645846505262244,0.6841112209664819,-0.5924902197292399,-0.4205096940487787,-0.9828047767875576,-0.386855808319972,-1.6737636729409529,0.3284617052018183,0.4037293682982723,0.0104153454868315,1155.5588958103256,2.5,False
stress_tau_sd_0.000_random_05,random_05,0.0,0.0,,11.16854644098959,12.19991878708627,0.4201541610737879,11.953938560381449,12.685055024427744,11.27725478209282,11.16854644098959,5,0.7832225658160975,41.78646396181848,0.8549665074635998,18.549769670923293,53.35196633191752,0.5262111747805563,1.450412158918699,0.7632230860606116,1.7099330149271996,0.3578963857017807,33.886489068197804,0.0852066789533285,29.33252592079405,0.0752500656610224,0.5364629244708966,-0.9262862085475536,0.7739398099502427,-1.482386120444175,0.6903208410553187,-1.2309615738824102,0.4821119837931251,-1.4102352541606686,0.0104153454868315,1171.3407685334096,2.5,False
