scenario_id,nuisance_param,nuisance_factor,eta,beta,kappa,epsilon,Xc,xc_std_frac
central,central,1.0,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,21.74056340066893,0.14142135623730953
eta_low,eta,0.8,0.4694694606112571,57.87173772073557,0.5,49.718659304628446,21.74056340066893,0.14142135623730953
eta_high,eta,1.2,0.7042041909168856,57.87173772073557,0.5,49.718659304628446,21.74056340066893,0.14142135623730953
beta_low,beta,0.8,0.5868368257640714,46.29739017658846,0.5,49.718659304628446,21.74056340066893,0.14142135623730953
beta_high,beta,1.2,0.5868368257640714,69.44608526488268,0.5,49.718659304628446,21.74056340066893,0.14142135623730953
epsilon_low,epsilon,0.8,0.5868368257640714,57.87173772073557,0.5,39.77492744370276,21.74056340066893,0.14142135623730953
epsilon_high,epsilon,1.2,0.5868368257640714,57.87173772073557,0.5,59.66239116555413,21.74056340066893,0.14142135623730953
Xc_low,Xc,0.8,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,17.392450720535145,0.14142135623730953
Xc_high,Xc,1.2,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,26.088676080802713,0.14142135623730953
xc_std_frac_low,xc_std_frac,0.8,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,21.74056340066893,0.11313708498984763
xc_std_frac_high,xc_std_frac,1.2,0.5868368257640714,57.87173772073557,0.5,49.718659304628446,21.74056340066893,0.16970562748477144
