parameter,estimate,ci95_lower,ci95_upper,log2_estimate,log2_se
eta,0.5707897419031454,0.5658439545199689,0.5757787581882908,0.08,0.006405692982715667
beta,57.87173772073557,57.32479315430274,58.42390076842739,0.08,0.006989653362820032
epsilon,53.472139183189434,52.82974947117906,54.12234011040008,0.045,0.008896339465891774
SWE_Xc,21.81604116925095,21.451890369149616,22.186373513399573,0.05500000000000001,0.01239007263075997
SWE_xc_std_frac,0.1607701981486303,0.158351325135062,0.16322602031087655,-0.315,0.011158703900537758
USA_Xc,20.284662907421758,19.936259836529615,20.639154617848213,-0.05,0.012752322002458901
USA_xc_std_frac,0.18403753012497504,0.18085634324581737,0.18727467274103693,-0.12,0.012834592299527993
