scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,Median,Top 10%,Top 1%,Top 0.01%
historical,1900,1900,low,0.8131478289636971,0.006685965133815,1000000,20,1174815468,69.81604906054281,86.36216090425532,95.29201712328768,104.466168125
historical,1900,1900,central,0.8612225096708863,0.0065262362753043,1000000,20,1348293704,72.51109550561797,88.43522727272727,96.98796428571428,105.88320625
historical,1900,1900,high,0.9009554492272798,0.0063703233667321,1000000,20,1120884774,74.48557142857143,89.99128329297821,98.2597,106.70613125
historical,1910,1910,low,0.8157800190187574,0.0056608879210154,1000000,20,3077557420,71.10113827993251,86.85601162790697,95.5999540229885,104.58904199999999
historical,1910,1910,central,0.8583927795698899,0.0055143844936542,1000000,20,2394208005,73.50868959107807,88.68156934306569,97.08607142857143,106.25385
historical,1910,1910,high,0.8918844496606568,0.0053716725658824,1000000,20,1287957969,75.2186161449753,90.01386419753088,98.22552840909091,106.926905
historical,1920,1920,low,0.839722903333666,0.0056730261533383,1000000,20,481659965,72.37966452205882,87.85202214452214,96.47680844155843,105.60459499999999
historical,1920,1920,central,0.8804003500484215,0.0055290038531779,1000000,20,1286767388,74.55534759358287,89.5453613053613,97.90955681818181,106.78791000000001
historical,1920,1920,high,0.915371370111589,0.0053886378772407,1000000,20,1258575500,76.27575823223572,90.85665811088295,98.9390425,107.2790425
historical,1930,1930,low,0.7952353835414185,0.0037082013557099,1000000,20,1890062146,71.91430600649349,86.65149297423888,95.22318597560975,104.26650625
historical,1930,1930,central,0.8366922058313491,0.0036142518506429,1000000,20,2726450763,74.29134191176472,88.48596615720524,96.77543581081082,105.57582250000003
historical,1930,1930,high,0.8725695383605093,0.003522682612626,1000000,20,1349281390,76.20235887096776,89.97703302961276,97.99689488636363,106.54883916666665
historical,1940,1940,low,0.7929815058084907,0.0022061447323766,1000000,20,1492806086,73.1363848202397,87.06107064017661,95.4651875,104.4556825
historical,1940,1940,central,0.838314386811687,0.00211438838989,1000000,20,2143383631,75.79780844155844,89.09441397849461,97.18924621212122,105.801413125
historical,1940,1940,high,0.8760884582067756,0.0020264483094387,1000000,20,843016887,77.77886613691932,90.61971062618596,98.42049242424243,107.0000375
historical,1950,1950,low,0.8089979715055594,0.0009993849383417,1000000,20,4018187403,75.13015350877193,88.179761663286,96.31180747126437,105.16376125000001
historical,1950,1950,central,0.8503373103793845,0.0009471149612417,1000000,20,4037721060,77.43294223826715,89.95906307977737,97.7763076923077,105.98734
historical,1950,1950,high,0.8861046179766926,0.0008975788161231,1000000,20,2754679477,79.22260348583876,91.3284555984556,98.96244444444444,107.22297
historical,1960,1960,low,0.8228386431174807,0.0006323330961684,1000000,20,4264037500,76.20972857142856,88.95048611111112,96.90887637362637,105.74241375
historical,1960,1960,central,0.8612971229077497,0.0005951755343646,1000000,20,4253971361,78.28327185017027,90.50934235074627,98.27853823529412,106.57191791666668
historical,1960,1960,high,0.8930219449750317,0.0005602014489716,1000000,20,4056718397,79.85473997833154,91.70712543554008,99.2346030927835,107.4520325
historical,1970,1970,low,0.8128694427526238,0.0006011987798969,1000000,20,2417965250,75.67713119709795,88.50639473684211,96.51846590909092,105.51653125000001
historical,1970,1970,central,0.8513723457806606,0.0005625705837845,1000000,20,3155755886,77.80239457831323,90.13456720977597,97.8783475,106.28992375000001
historical,1970,1970,high,0.8847183405075874,0.0005264243247365,1000000,20,3593342702,79.4799515608181,91.40208653846155,98.97071359223301,107.192445
historical,1980,1980,low,0.8025787836661384,0.0005345039689193,1000000,20,1466590499,75.15847457627119,88.05263106796116,96.1730495049505,105.090015
historical,1980,1980,central,0.8454292954932165,0.0004903213014376,1000000,20,2803260421,77.53393061926604,89.90983075435203,97.66031741573033,106.06334125000001
historical,1980,1980,high,0.8817071936909064,0.000449790820318,1000000,20,4225663892,79.4049970862471,91.34207075471699,98.89820738636365,107.36183625
historical,1990,1990,low,0.8438556087284458,0.0004758048839863,1000000,20,3114613128,77.46466121495328,89.83435779816514,97.63971238938053,106.16725000000001
historical,1990,1990,central,0.8789942036644581,0.0004393126733862,1000000,20,1476776387,79.29268841394826,91.23384615384614,98.81017889908257,107.08206333333331
historical,1990,1990,high,0.908880569072368,0.0004056192601069,1000000,20,3692126447,80.69146620847653,92.33375444839858,99.75157547169812,107.9177925
historical,2000,2000,low,0.8817282685007926,0.0003784677386237,1000000,20,4017210198,79.45487355110643,91.34723613595706,98.87428991596639,107.24660333333331
historical,2000,2000,central,0.9130924308641714,0.0003346109149408,1000000,20,2616868369,80.9320910973085,92.48384124087592,99.91743043478262,108.097515
historical,2000,2000,high,0.938790495342622,0.0002958362179156,1000000,20,3278406546,82.07633970177075,93.35611519607843,100.58345,108.47880437500001
historical,2010,2010,low,0.908376057132949,0.0003806280751835,1000000,20,248088505,80.68040042149633,92.31347908745248,99.73572857142857,107.80988250000001
historical,2010,2010,central,0.9601112952382472,0.0003440823268231,1000000,20,3626197886,82.87312108559499,93.98534539473684,101.15682380952381,109.164305
historical,2010,2010,high,0.9764391039938776,0.0003110454938852,1000000,20,2693424535,83.50811987704918,94.47591228070175,101.50812109375,109.2830725
historical,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,20,2805544298,83.70340019569471,94.65095432300164,101.68187280701754,109.49558499999999
historical,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,20,3949350013,84.19041916167664,95.02426444833625,102.00198095238095,109.82204
historical,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,20,2360013718,84.54325815738963,95.30319256756756,102.28479565217391,109.943603
linear,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,20,2781706465,83.7002885624344,94.63247863247864,101.6780625,109.34307
linear,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,20,2377501251,84.16393858800775,95.002708,101.97762837837837,110.198604375
linear,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,20,1861655347,84.5512668918919,95.29963660245184,102.22908628318584,110.14668375000001
linear,2030,2019,low,1.0171747484574378,0.00037654233847386704,1000000,20,2679836439,84.94817937438906,95.60349287974682,102.5052930327869,110.33435375
linear,2030,2019,central,1.0337677863599186,0.00035350069867971903,1000000,20,255792426,85.521067839196,96.06311625874126,102.89272544642859,110.53103416666667
linear,2030,2019,high,1.036735910700809,0.0003318690388803601,1000000,20,2961327360,85.63117574257427,96.15457386363637,102.950677734375,110.60843375
linear,2040,2019,low,1.0518736271547153,0.00035295723718113914,1000000,20,4253079007,86.14409892262489,96.50940438871474,103.2257608695652,110.95440625
linear,2040,2019,central,1.0721974010924933,0.0003316611337501319,1000000,20,1688055532,86.77532021957914,97.0146192893401,103.68409210526316,111.35830750000001
linear,2040,2019,high,1.0721974010924933,0.0003116499565753391,1000000,20,496891997,86.77527173913045,97.01973846153847,103.68660833333334,111.16542999999999
linear,2050,2019,low,1.086572505851993,0.00033084941200360916,1000000,20,1771555404,87.203591160221,97.35840236686391,103.97553070175438,111.40545166666668
linear,2050,2019,central,1.110627015825068,0.00031117083516738684,1000000,20,1448200449,87.9117508944544,97.91484992679356,104.46077293577981,111.78287125
linear,2050,2019,high,1.110627015825068,0.00029266271949045816,1000000,20,741724051,87.91936926605504,97.90125536480687,104.45274047619048,111.634906875
linear,2060,2019,low,1.1212713845492706,0.00031012633229265084,1000000,20,1208883501,88.21126651982378,98.13393221574344,104.60764663461538,111.90498416666667
linear,2060,2019,central,1.1490566305576424,0.00029194644414294596,1000000,20,1663993171,88.9666961130742,98.73365539452496,105.15376050420168,112.63947499999998
linear,2060,2019,high,1.1490566305576424,0.000274832277600029,1000000,20,3619050579,88.97456781914894,98.73036466165414,105.14063532110092,112.35689625
linear,2070,2019,low,1.155970263246548,0.00029070126314820985,1000000,20,770039538,89.16892182130584,98.85653589315525,105.25840082644628,112.46911083333333
linear,2070,2019,central,1.187486245290217,0.00027390975186302846,1000000,20,931731017,89.9675464527027,99.47526113671275,105.7575753968254,112.71927249999999
linear,2070,2019,high,1.187486245290217,0.0002580881532923842,1000000,20,3706000841,89.96714797639123,99.4788808801214,105.75657323232323,112.78129291666667
linear,2080,2019,low,1.1906691419438258,0.00027249290239636753,1000000,20,4085261052,90.0340869939707,99.53641627543035,105.85387946428571,113.00444833333333
linear,2080,2019,central,1.2259158600227917,0.0002569873813189193,1000000,20,373568368,90.8698422330097,100.18891461649783,106.36641463414634,113.56244000000001
linear,2080,2019,high,1.2259158600227917,0.0002423641627960885,1000000,20,2638174897,90.86753112033196,100.1936224489796,106.39435950413224,113.357435
linear,2090,2019,low,1.2253680206411033,0.00025542504030517325,1000000,20,4284297131,90.8575364667747,100.17916302765647,106.35974107142857,113.18755333333333
linear,2090,2019,central,1.2643454747553664,0.0002411104887940642,1000000,20,626639466,91.74604503464204,100.85935704022988,106.95874007936509,114.08113125000001
linear,2090,2019,high,1.2643454747553664,0.00022759815457822573,1000000,20,806402127,91.74818313953489,100.87184576023392,106.91035084033614,113.9972635
linear,2100,2019,low,1.2580333290537369,0.00023942624061451182,1000000,20,1133511004,91.5862004950495,100.7604442877292,106.86124369747898,113.96547
linear,2100,2019,central,1.302775089487941,0.0002262144837935385,1000000,20,1293469565,92.52212726523888,101.48848214285714,107.45788533834586,114.26098749999998
linear,2100,2019,high,1.302775089487941,0.00021373176368073984,1000000,20,3739384794,92.53437017001546,101.47321678321678,107.45414062500001,114.38040000000001
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,20,3762060169,83.67676991150442,94.64291071428572,101.68262871287129,109.50511375
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,20,3550534327,84.18041079812205,95.02444777397261,102.04649795081967,109.75961375000001
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,20,1694906681,84.55530039721947,95.28311962134252,102.26369132653062,109.89755583333333
exponential,2030,2019,low,1.02140397559075,0.00037654233847386704,1000000,20,4130098841,85.07426541425818,95.72366509433962,102.6123738095238,110.51458083333334
exponential,2030,2019,central,1.0378656735584753,0.00035350069867971903,1000000,20,2460952840,85.66916902738433,96.18554991539763,102.96269583333333,110.56432833333334
exponential,2030,2019,high,1.0394292733454855,0.0003318690388803601,1000000,20,207124001,85.74560945273632,96.20306857638889,102.97957675438596,110.58348375
exponential,2040,2019,low,1.0618745085385854,0.00035295723718113914,1000000,20,3627862420,86.44148758357213,96.76093446601942,103.480486,110.83392875
exponential,2040,2019,central,1.0822102347284233,0.0003316611337501319,1000000,20,1284695184,87.09442883895129,97.25938366718027,103.8970466101695,111.29151499999999
exponential,2040,2019,high,1.0822102347284233,0.0003116499565753391,1000000,20,3003282585,87.08901890189017,97.26148264984228,103.92617375886525,111.19778875
