scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,age,survival
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,57,0.958096
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,58,0.954899
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,59,0.951304
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,60,0.947262
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,61,0.942581
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,62,0.937319
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,63,0.931343
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,64,0.924775
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,65,0.917326
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,66,0.909145
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,67,0.899694
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,68,0.889038
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,69,0.877224
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,70,0.864048
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,71,0.849372
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,72,0.83285
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,73,0.814681
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,74,0.794964
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,75,0.772933
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,76,0.749053
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,77,0.722749
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,78,0.694351
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,79,0.66417
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,80,0.631516
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,81,0.597081
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,82,0.560443
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,83,0.522659
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,84,0.483011
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,85,0.442635
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,86,0.402012
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,87,0.36101
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,88,0.320754
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,89,0.281371
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,90,0.243112
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,91,0.207065
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,92,0.173348
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,93,0.142674
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,94,0.114952
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,95,0.090925
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,96,0.070283
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,97,0.053031
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,98,0.039061
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,99,0.028197
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,100,0.019696
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,101,0.013248
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,102,0.008659
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,103,0.005467
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,104,0.003351
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,105,0.001936
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,106,0.001028
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,107,0.000535
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,108,0.000293
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,109,0.000138
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,110,7.2e-05
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,111,3.7e-05
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,112,1.6e-05
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,113,8e-06
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,114,6e-06
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,115,3e-06
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,116,0.0
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,117,0.0
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,118,0.0
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,119,0.0
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,120,0.0
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,0,1.0
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,1,0.999636
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,2,0.999244
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,3,0.998879
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,4,0.998468
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,5,0.998083
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,6,0.997665
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,7,0.997305
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,8,0.996897
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,9,0.996524
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,10,0.99614
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,11,0.995746
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,12,0.995361
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,13,0.994993
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,14,0.994611
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,15,0.994218
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,16,0.993801
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,17,0.993428
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,18,0.993038
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,19,0.992691
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,20,0.992299
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,21,0.991897
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,22,0.991519
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,23,0.991146
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,24,0.990712
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,25,0.990307
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,26,0.989875
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,27,0.989469
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,28,0.989074
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,29,0.988639
