year,condition,from_t,ref_year,old_fig4_ref_year,sr_baseline_median,sr_baseline_steepness,ref_median,ref_steepness,old_fig4_ref_median,old_fig4_ref_steepness,age_at_survival_75,median_lifespan,age_at_survival_25,iqr,steepness_iqr_absolute,x_relative_to_sr,y_relative_to_sr,x_relative_to_ref_year,y_relative_to_ref_year,x_relative_to_old_fig4_ref,y_relative_to_old_fig4_ref,ggm_a,ggm_b,ggm_c,ggm_m,country_key,country_name,hmd_country_code
1948,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.1508988352401,76.34051644997282,82.97610299127334,14.825204156033235,5.149373704840714,0.9021990977869876,0.7889281346342617,0.8942360317476504,0.7983854063883018,0.9014793394731064,0.7926678290485136,1.8541683146041768e-05,0.1094051580281018,11.023844022863004,0.0011207614411969,sweden,Sweden,swe
1949,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,66.89360819037077,75.99589166159464,82.82918385385975,15.935575663488976,4.768945488157904,0.8981262910048435,0.7306432750468388,0.8846633031491692,0.7484717631872452,0.8916182940076197,0.740756329662336,,,,,sweden,Sweden,swe
1949,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.07740022918135,76.17424496251104,82.71227331343395,14.634873084252604,5.204981589111008,0.900234086375596,0.7974477385556239,0.8922883640862974,0.807007139015669,0.8995158957126954,0.8012278177828869,1.7640422882999953e-05,0.1103517334849874,11.22342417792855,0.0010168433394206,sweden,Sweden,swe
1950,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,67.22522982635343,76.14225941422595,82.70497330710873,15.479743480755303,4.918832118173494,0.8998560782856987,0.7536071899232545,0.8863671607747093,0.7719960224861907,0.8933355469149213,0.764038095031957,,,,,sweden,Sweden,swe
1950,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.17613492505826,76.13343166127096,82.57473722903971,14.398602303981448,5.287557087413882,0.899751751106347,0.8100990118126687,0.8918102860454268,0.819810069342571,0.8990339452419027,0.8139390608823743,1.529675078231933e-05,0.1125908637937333,11.271216176288888,0.0009471149612417,sweden,Sweden,swe
1951,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,67.5135268076734,76.41958041958043,82.99530905077262,15.481782243099218,4.936097099133619,0.9031334828994356,0.7562523328093812,0.8895954368204989,0.7747057097268412,0.8965892028202654,0.7667198501410203,,,,,sweden,Sweden,swe
1951,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.31786196462924,76.2966097215203,82.72334318592017,14.405481221290929,5.296359666815982,0.901680204116382,0.8114476423346951,0.8937217179802798,0.8211748665656982,0.9009608597665963,0.8152940842123242,1.5741386567826276e-05,0.1117953752036064,11.4603717738039,0.0008551024614729,sweden,Sweden,swe
1952,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,67.78636839351125,76.6644111718975,83.29307974335472,15.50671134984347,4.943950360736635,0.906026914777064,0.7574555197176139,0.8924454959134535,0.7759382557002384,0.8994616683302907,0.7679396907232567,,,,,sweden,Sweden,swe
1952,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,68.38948559048953,76.49539592482581,83.03313927041687,14.64365367992734,5.223791657247481,0.90402947736753,0.8003296020244377,0.896050255877015,0.8099235488072543,0.9033082588095366,0.8041233419240026,1.725633840616831e-05,0.110129877476402,11.295345577418916,0.0007339129566758,sweden,Sweden,swe
1953,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,67.83285565398646,76.57578825571304,83.17368346944522,15.340827815458766,4.991633383600625,0.904979561173198,0.7647609670279242,0.8914138422272835,0.7834219638461444,0.8984219040534239,0.7753462549399466,,,,,sweden,Sweden,swe
