scenario,year,Median,Median low,Median high,Top 10%,Top 10% low,Top 10% high,Top 1%,Top 1% low,Top 1% high,Top 0.01%,Top 0.01% low,Top 0.01% high
exponential,2020,84.19041916167664,83.70340019569471,84.54325815738963,95.02426444833624,94.65095432300164,95.30319256756756,102.00198095238096,101.68187280701754,102.28479565217393,109.82204,109.495585,109.943603
exponential,2030,85.66916902738433,85.07426541425818,85.74560945273632,96.18554991539764,95.72366509433962,96.20306857638889,102.96269583333331,102.6123738095238,102.97957675438596,110.56432833333334,110.51458083333334,110.58348375
exponential,2040,87.09442883895129,86.44148758357213,87.09442883895129,97.25938366718027,96.76093446601942,97.26148264984228,103.8970466101695,103.480486,103.92617375886525,111.291515,110.83392875,111.291515
exponential,2050,88.40757410636444,87.6943213296399,88.41205731593662,98.27585989932886,97.7358293460925,98.29881955484896,104.80496822033898,104.33934375,104.80496822033898,112.00622499999994,111.666565,112.13225375
exponential,2060,89.6731228298611,88.9224456521739,89.67453893442622,99.2748222060958,98.6920739910314,99.29028192934784,105.62024557522123,105.07973295454543,105.62024557522123,112.77987583333334,112.4530995,112.77987583333334
exponential,2070,90.89243892165122,89.99621848739496,90.89243892165122,100.2012187958884,99.52035498489428,100.21551987767585,106.38986923076924,105.8257945736434,106.39629545454544,113.265895,113.177855,113.265895
exponential,2080,92.01879811804962,90.92901127493496,92.06239215686274,101.10078145695364,100.25587904360056,101.1113676470588,107.15554330708662,106.42285271317829,107.1882015503876,114.08759666666668,113.81544,114.168515
exponential,2090,93.11732633279482,91.8650185796862,93.12036,101.94591520861373,100.972345545977,101.94591520861373,107.8521923076923,107.04077713178296,107.88549615384616,114.8435325,114.159400625,114.8435325
exponential,2100,94.16021505376344,92.7255317014446,94.16021505376344,102.76064516129031,101.64673928077455,102.76064516129031,108.5357097902098,107.64177713178294,108.5380326923077,115.06532875,114.652973125,115.21797125
historical,1900,72.51109550561797,69.81604906054281,74.48557142857143,88.43522727272727,86.36216090425532,89.99128329297821,96.98796428571428,95.29201712328768,98.2597,105.88320625,104.466168125,106.70613125
historical,1910,73.50868959107807,71.10113827993251,75.2186161449753,88.68156934306569,86.85601162790697,90.01386419753088,97.08607142857144,95.5999540229885,98.22552840909093,106.25385,104.589042,106.926905
historical,1920,74.55534759358287,72.37966452205882,76.27575823223572,89.5453613053613,87.85202214452214,90.85665811088296,97.9095568181818,96.47680844155845,98.9390425,106.78791,105.604595,107.2790425
historical,1930,74.29134191176472,71.91430600649349,76.20235887096776,88.48596615720524,86.65149297423888,89.97703302961276,96.77543581081082,95.22318597560977,97.99689488636363,105.57582250000004,104.26650625,106.54883916666664
historical,1940,75.79780844155844,73.1363848202397,77.77886613691932,89.09441397849461,87.06107064017661,90.61971062618596,97.18924621212122,95.4651875,98.42049242424244,105.801413125,104.4556825,107.0000375
historical,1950,77.43294223826715,75.13015350877193,79.22260348583876,89.95906307977737,88.179761663286,91.3284555984556,97.7763076923077,96.31180747126436,98.96244444444444,105.98734,105.16376125,107.22297
historical,1960,78.28327185017027,76.20972857142856,79.85473997833154,90.50934235074628,88.95048611111112,91.70712543554008,98.27853823529412,96.90887637362636,99.2346030927835,106.57191791666668,105.74241375,107.4520325
historical,1970,77.80239457831323,75.67713119709795,79.4799515608181,90.13456720977597,88.50639473684211,91.40208653846156,97.8783475,96.51846590909092,98.970713592233,106.28992375,105.51653125,107.192445
historical,1980,77.53393061926604,75.15847457627119,79.4049970862471,89.90983075435203,88.05263106796116,91.342070754717,97.66031741573032,96.1730495049505,98.89820738636364,106.06334125,105.090015,107.36183625
historical,1990,79.29268841394826,77.46466121495328,80.69146620847653,91.23384615384614,89.83435779816514,92.33375444839858,98.81017889908256,97.63971238938052,99.75157547169812,107.08206333333332,106.16725,107.9177925
historical,2000,80.9320910973085,79.45487355110643,82.07633970177075,92.48384124087592,91.34723613595706,93.35611519607843,99.91743043478262,98.8742899159664,100.58345,108.097515,107.24660333333333,108.478804375
historical,2010,82.87312108559499,80.68040042149633,83.50811987704918,93.98534539473684,92.31347908745248,94.47591228070176,101.1568238095238,99.73572857142857,101.50812109375,109.164305,107.8098825,109.2830725
historical,2020,84.19041916167664,83.70340019569471,84.54325815738963,95.02426444833624,94.65095432300164,95.30319256756756,102.00198095238096,101.68187280701754,102.28479565217393,109.82204,109.495585,109.943603
linear,2020,84.19041916167664,83.70340019569471,84.54325815738963,95.02426444833624,94.65095432300164,95.30319256756756,102.00198095238096,101.68187280701754,102.28479565217393,109.82204,109.495585,109.943603
linear,2030,85.521067839196,84.94817937438906,85.63117574257427,96.06311625874126,95.60349287974682,96.15457386363636,102.8927254464286,102.5052930327869,102.950677734375,110.53103416666669,110.33435375,110.60843375
linear,2040,86.77532021957914,86.14409892262489,86.77532021957914,97.0146192893401,96.50940438871474,97.01973846153848,103.68409210526316,103.2257608695652,103.68660833333334,111.3583075,110.95440625,111.3583075
linear,2050,87.9117508944544,87.203591160221,87.91936926605504,97.91484992679356,97.35840236686391,97.91484992679356,104.4607729357798,103.97553070175438,104.4607729357798,111.78287125,111.40545166666668,111.78287125
linear,2060,88.9666961130742,88.21126651982378,88.97456781914894,98.73365539452496,98.13393221574344,98.73365539452496,105.15376050420168,104.60764663461538,105.15376050420168,112.63947499999998,111.90498416666668,112.63947499999998
linear,2070,89.9675464527027,89.16892182130584,89.9675464527027,99.47526113671276,98.85653589315524,99.4788808801214,105.7575753968254,105.25840082644628,105.7575753968254,112.7192725,112.46911083333332,112.78129291666669
linear,2080,90.8698422330097,90.0340869939707,90.8698422330097,100.18891461649784,99.53641627543035,100.1936224489796,106.36641463414634,105.85387946428573,106.39435950413224,113.56244,113.00444833333331,113.56244
linear,2090,91.74604503464204,90.8575364667747,91.74818313953487,100.85935704022988,100.17916302765649,100.87184576023392,106.95874007936509,106.35974107142856,106.95874007936509,114.08113125,113.18755333333333,114.08113125
linear,2100,92.52212726523888,91.5862004950495,92.53437017001546,101.48848214285714,100.7604442877292,101.48848214285714,107.45788533834586,106.86124369747898,107.45788533834586,114.26098749999998,113.96547,114.3804
