year,condition,from_t,ref_year,old_fig4_ref_year,sr_baseline_median,sr_baseline_steepness,ref_median,ref_steepness,old_fig4_ref_median,old_fig4_ref_steepness,age_at_survival_75,median_lifespan,age_at_survival_25,iqr,steepness_iqr_absolute,x_relative_to_sr,y_relative_to_sr,x_relative_to_ref_year,y_relative_to_ref_year,x_relative_to_old_fig4_ref,y_relative_to_old_fig4_ref,ggm_a,ggm_b,ggm_c,ggm_m,country_key,country_name,hmd_country_code
1800,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,44.794380587484035,59.976145038167935,70.74623493975903,25.951854352275,2.3110543171228257,0.7088034828482731,0.354073305989076,0.6981784596447218,0.3627130785733868,0.7036673555750838,0.3589741417370374,,,,,sweden,Sweden,swe
1800,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,56.00079237929399,65.5667136549038,73.37583814500549,17.375045765711498,3.773613867785912,0.7748733261855346,0.5781499499140375,0.7680340736484044,0.5850805193168596,0.7742551460963562,0.5808905089629246,0.0001664792219882,0.0912660865389602,8.849805053770156,0.0075160159475217,sweden,Sweden,swe
1801,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,47.05980392156863,62.38858267716535,73.2218221665623,26.162018244993675,2.3847006791650696,0.7373138881033533,0.3653565591299323,0.7262614915520291,0.3742716553251995,0.7319711689135838,0.3704135697982016,,,,,sweden,Sweden,swe
1801,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,58.0079441950365,67.71609026519232,75.63287274876342,17.624928553726917,3.842063249151343,0.8002748525149711,0.588636981124597,0.7932113988761579,0.59569326375743,0.7996364075421258,0.5914272510284004,0.0001442240746337,0.0903173307574085,8.94125351569011,0.0067306065176132,sweden,Sweden,swe
1802,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,48.66993464052287,63.22927807486631,73.54512534818942,24.875190707666547,2.54186103808961,0.7472493020170975,0.3894348715445532,0.7360479727842546,0.3989375046706128,0.741834588894443,0.3948251574194991,,,,,sweden,Sweden,swe
1802,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,58.36740479025516,68.03637078272891,75.95175912760348,17.584354337348323,3.8691423908708966,0.8040599565121338,0.5927857374566964,0.7969630944680482,0.5998917532836588,0.8034184918509764,0.5955956733860859,0.0001341016373419,0.091179342444732,8.829765772731186,0.0061415791595368,sweden,Sweden,swe
1803,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,47.756587615283266,62.91517189835576,73.55849220103985,25.80190458575659,2.438392549249515,0.7435371669381732,0.3735826132752989,0.7323914829191346,0.3826984341111421,0.7381493526650335,0.3787534832476682,,,,,sweden,Sweden,swe
1803,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,58.28797269731764,68.18396288418974,76.25024983953222,17.962277142214575,3.7959531714353294,0.8058042132577076,0.5815725224767155,0.7986919559070997,0.5885441199496522,0.8051613570596962,0.5843293052789879,0.0001538718000614,0.0884275098681537,8.904560382510928,0.0065152912507358,sweden,Sweden,swe
1804,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,46.27203065134099,61.719970523212965,72.43881118881119,26.166780537470196,2.3587147236103982,0.7294121694601403,0.3613752882769034,0.7184782203289596,0.3701932371465042,0.7241267076535673,0.36637719297082,,,,,sweden,Sweden,swe
1804,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,57.839794514985776,67.46118464622961,75.36332977033514,17.523535255349366,3.84974742043766,0.7972623549560935,0.5898142619487534,0.7902254904782133,0.5968846572291091,0.796626313299954,0.5926101124248914,0.0001368667066367,0.091822848372667,8.709114398200253,0.007276299061626,sweden,Sweden,swe
1805,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,47.71287465940054,62.840892983699504,73.31519241815049,25.602317758749948,2.4545001579875616,0.7426593320360294,0.376050436828905,0.7315268068352385,0.3852264752352928,0.7372778787245544,0.3812554646936841,,,,,sweden,Sweden,swe
1805,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,58.9039583652096,68.51045545813686,76.34295243642669,17.43899407121708,3.928578401847892,0.809662731896919,0.6018918431615712,0.8025164181625113,0.6091070183815016,0.8090167974417062,0.6047449440525651,0.0001244745994103,0.0916302987944378,9.043165863508868,0.0069943009320387,sweden,Sweden,swe
1806,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,45.76466275659824,61.67290480065093,72.89288206559665,27.12821930899841,2.273385661557007,0.7288559425126846,0.3483021454804135,0.7179303312697426,0.3568010954907007,0.723574511234268,0.3531231008497932,,,,,sweden,Sweden,swe
1806,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,59.22042686451021,68.58984260346887,76.25869854998213,17.03827168547192,4.025633812492472,0.8106009363291794,0.6167615629498264,0.8034463417354019,0.6241549888554282,0.8099542533912405,0.6196851496120742,0.0001044118298227,0.0946365693907265,9.04257345851519,0.0082241867347808,sweden,Sweden,swe
1807,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,45.1624843161857,60.91297824456114,71.75033156498674,26.58784724880104,2.2910082818874313,0.7198750620422483,0.3510020817797696,0.7090840749450614,0.3595669131632754,0.7146587079625724,0.3558604077842955,,,,,sweden,Sweden,swe
1807,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,57.494158370347755,67.10343950197267,74.99154869898935,17.497390328641593,3.8350541561692553,0.7930344906267005,0.5875631280758974,0.7860349424828124,0.5946065379011075,0.7924018218851521,0.5903483076779716,0.0001415034918914,0.0918010223924409,8.707127691962048,0.0078697425772061,sweden,Sweden,swe
1808,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,38.67279942279942,55.2020474137931,67.71295411089866,29.040154688099243,1.900886824009071,0.6523827672210669,0.2912321346587355,0.6426034952408181,0.2983385145245265,0.6476554753773274,0.2952631667426245,,,,,sweden,Sweden,swe
1808,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,56.958925043748195,66.26793681398794,73.90037265213095,16.94144760838276,3.9115864444309976,0.7831604446239806,0.599288529819583,0.7762480476206643,0.6064724978348831,0.7825356532198399,0.6021292904276839,0.0001287627917265,0.0948532590735148,8.850151465593216,0.0130786004991671,sweden,Sweden,swe
1809,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,36.176785714285714,50.61995753715499,63.58862704918032,27.41184133489461,1.846645649182166,0.598231216446704,0.2829219223243046,0.5892636807197448,0.2898255239984547,0.5938963172245413,0.2868379302451381,,,,,sweden,Sweden,swe
1809,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,50.300652700307666,61.179886279304306,70.21523164024578,19.91457893993811,3.072115482020552,0.7230294052316238,0.4706743917873176,0.7166477418977047,0.4763165985174196,0.7224525852958996,0.4729054928428206,0.0005299071961117,0.0762766233833159,7.919996785626272,0.0131766121126496,sweden,Sweden,swe
1810,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,41.870173102529954,57.34452975047984,68.99078138718173,27.120608284651773,2.11442638559595,0.6777028164042556,0.3239482235755266,0.6675439947792937,0.3318529114846184,0.6727920505817402,0.3284320889438933,,,,,sweden,Sweden,swe
1810,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,54.26858881413045,64.53964979022041,72.92728159852636,18.65869278439591,3.4589588100295168,0.7627353929467126,0.529942101348759,0.7560032732632938,0.5362947794272074,0.7621268962837129,0.5324541444985569,0.0002794733398759,0.0832586725054628,8.67737326472353,0.0088860388070537,sweden,Sweden,swe
1811,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,42.56733167082294,58.59981515711645,70.6482982171799,28.08096654635696,2.086816173523728,0.6925378923769846,0.3197181027189808,0.6821566917284275,0.3275195710924948,0.6875196287216466,0.3241434177048101,,,,,sweden,Sweden,swe
1811,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,55.60885677894134,66.07856414651188,74.65163971264894,19.04278293370761,3.4700056381752007,0.7809224213869439,0.5316345699909953,0.7740297778137495,0.5380075365281539,0.7802994154377382,0.5341546358177012,0.0002609191205718,0.0822289014730918,8.457991644889015,0.0087591258204232,sweden,Sweden,swe
1812,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,41.83978675645343,56.672024326672464,68.31346863468636,26.47368187823293,2.1406929563986745,0.6697550867473115,0.3279724870868641,0.6597154022514186,0.3359753713891016,0.6649019117127067,0.3325120535039741,,,,,sweden,Sweden,swe
1812,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,52.28033222289292,62.86216751754003,71.58363725230036,19.30330502940744,3.2565494572962117,0.7429107563927055,0.4989312557124634,0.736353614594404,0.5049121914462925,0.7423180754703937,0.5012963005729165,0.0003851175540244,0.0799069403242582,8.172730409706409,0.0078981208677125,sweden,Sweden,swe
1813,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,44.08481012658229,59.7588285960379,70.84199288256228,26.75718275597999,2.233375207734915,0.706235217566069,0.3421722014310896,0.6956486928728617,0.3505215741599358,0.7011177004403746,0.3469083103903566,,,,,sweden,Sweden,swe
1813,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,56.142247162269776,66.25339268458302,74.55550369289448,18.4132565306247,3.598135537534666,0.7829885607929901,0.5512651674746297,0.7760776808852912,0.5578734556931262,0.7823639065146972,0.5538782866892616,0.0002086104847791,0.0861562633890478,8.42872541970823,0.0080905287847355,sweden,Sweden,swe
1814,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,85.90374596874224,6.3715770222915635,85.23366127898805,6.437940922262204,46.78478854024557,62.61707492795389,72.97279874213837,26.18801020189279,2.3910589023456277,0.7400142300986531,0.3663306933530342,0.7289213551960625,0.3752695594795892,0.7346519437079533,0.3714011873077957,,,,,sweden,Sweden,swe
1814,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,85.36953750429483,6.449734255708917,84.68360072965406,6.496256711997274,58.89777900244325,68.48295906193043,76.33116857138586,17.43338956894261,3.928264138830011,0.8093377770105304,0.6018436953768711,0.8021943314204454,0.6090582934254923,0.8086921017985177,0.6046965680366818,0.0001212248699126,0.0922322552509988,8.899037283924207,0.0074164596057039,sweden,Sweden,swe
