year,Median,Top 10%,Top 1%,Top 0.01%,Median smoothed,Top 10% smoothed,Top 1% smoothed,Top 0.01% smoothed
1900,63.36033940379019,83.65984247815123,91.72028035843371,100.42382495471163,64.46217531379459,84.39064681965279,92.6514431077711,101.50706508212666
1901,64.38369163317803,84.74536735547123,93.05898856256276,101.83433588583458,64.92818395641939,84.58625415319725,92.85422140231168,101.78061276085944
1902,65.64249490441554,84.76673062533592,93.1750604023168,102.26303440583379,65.18621223445862,84.60679709247952,92.83942908774296,101.7215755741216
1903,66.32620988429377,85.17307615383058,93.46255628593346,102.60125579705775,65.55025459730263,84.82868289951652,93.11451406944195,102.06825904051934
1904,66.2183253466156,84.68896884960864,92.78025982946802,101.48542682717024,66.11313815619911,85.0242873519036,93.31082960963934,102.3013918633524
1905,65.1805512180102,84.76927151333625,93.09570526692869,102.15724228670031,66.46974736833033,85.0966936148714,93.29670773035528,102.21565215935257
1906,67.19810942766047,85.72338961740654,94.04056626354974,103.0,66.6239429231506,85.03962317969895,93.19305527492828,102.02440498422617
1907,67.42554096507159,85.12876194017501,93.10445100589646,101.83433588583458,67.09690800320726,85.28126462982945,93.41349804211622,102.29418679595905
1908,67.0971876583951,84.8877239779683,92.94429400879848,101.64501992142574,67.69872403088011,85.45110489180044,93.51320010746875,102.3475033295613
1909,68.58315074689895,85.89717610026118,93.8824736654077,102.83433588583458,67.91116106603785,85.47146394153219,93.50401104510766,102.31710271087229
1910,68.18963135637446,85.61847282319114,93.59421559369137,102.42382495471163,68.03496599704982,85.49939732555325,93.54360927446697,102.37441190254802
1911,68.26029460344911,85.82518486606537,93.99462095174425,102.84799690655495,68.33387502027345,85.65374786061608,93.68434106454477,102.5301729092052
1912,68.04456562013151,85.26842886028017,93.30244215269306,102.12088184421323,68.29853820051736,85.57474438835867,93.62528963787112,102.4480707229806
1913,68.59173277451323,85.65947665328254,93.64795295918746,102.42382495471163,68.16218517915831,85.37370051352931,93.3924470319562,102.18748210088094
1914,68.40646664811841,85.50215873897412,93.58721653203945,102.42382495471163,68.21171640286991,85.36962779938293,93.38051610352261,102.18474989673686
1915,67.50786624957931,84.61325344904442,92.43000256411675,101.12088184421323,68.39916740692234,85.45211265287712,93.44017030708103,102.21318040906098
1916,68.50795072200712,85.80482129533337,93.93496630957637,102.83433588583458,65.80325664927923,85.08699657903595,93.32523769969565,102.2486665775302
1917,68.98182064039366,85.68085312775119,93.60071317048512,102.26303440583379,65.53282080453081,85.00834284709126,93.29321640296848,102.21650846775462
1918,55.61217898629759,83.83389628407667,93.07328992226061,102.60125579705775,65.87672062472596,85.27792445923255,93.60771195612982,102.5591992760789
1919,67.05428742437645,85.10889007925063,93.42711004840352,102.26303440583379,66.32591730868238,85.40194727886309,93.65484324831152,102.52794647993451
1920,69.22736535055496,85.9611615097509,94.00248032992347,102.83433588583458,66.5849074034187,85.3757147243804,93.60261699117368,102.44493898007875
1921,70.75393414178923,86.42493539348608,94.17062277048491,102.67807190511263,69.83259805100897,85.99433870772089,93.9079419255396,102.57729470183395
1922,70.27677111407522,85.54969035533772,93.33958188479593,101.84799690655495,70.65989227330701,86.2617100159094,94.07797989358887,102.72468782066719
1923,71.85063222424905,86.92701620077911,94.59991459409017,103.26303440583379,71.08518706524623,86.41330025392716,94.15287012814986,102.75782064350028
1924,71.1907585358666,86.44574662019319,94.27729988864984,103.0,71.21787233852334,86.42242711236102,94.23569406403115,102.9192916279118
1925,71.35383931025108,86.7191126998397,94.37693150272848,103.0,71.28508453826427,86.41197142994851,94.18863295071588,102.84677761203484
1926,71.41736050817472,86.47056968565542,94.58474244989131,103.48542682717024,71.14257872328912,86.2849133050576,94.09356470542777,102.7941707308681
1927,70.6128321127799,85.49741194327515,93.10427631821966,101.48542682717024,71.11875168488766,86.2034190395568,94.04977503637431,102.76103790803502
1928,71.13810314937336,86.29172557632455,94.12457336764952,103.0,71.16196574915678,86.18595578269388,94.0985800508624,102.84580289897733
1929,71.07162334385916,86.03827529268919,94.05835154338264,102.83433588583458,71.12383725915186,85.98297936816276,93.76891734127618,102.40132441471005
1930,71.56990963159674,86.63179641552513,94.62095657516885,103.42382495471163,71.4152711016981,86.18371597777465,94.00947426666102,102.75684593044275
1931,71.22671805815015,85.45568761299975,92.93642890196023,101.26303440583379,71.69721267804168,86.28262828961775,94.04509463755024,102.72371310760968
1932,72.07000132551102,86.50109499133467,94.30706094514383,103.26303440583379,72.00324322111405,86.44307243856905,94.14641747021672,102.75684593044278
1933,72.54781103109136,86.78628713553998,94.30267522209564,102.83433588583458,72.18401721067116,86.37068757356786,93.96087901634651,102.49625730834308
1934,72.60177605922095,86.8404960374457,94.56496570671506,103.0,72.36655763417971,86.49548567159573,94.11156243657234,102.69625730834309
1935,72.47377957938227,86.26987209051919,93.69326430581776,102.12088184421323,72.38023048530816,86.41006533197199,93.95942834103029,102.46782679601897
1936,72.139420175693,86.07967810313907,93.6898460030894,102.26303440583379,72.40887862354542,86.35487507534637,93.97113250380154,102.58572460979437
1937,72.13836558115324,86.07399329321596,93.5463904674336,102.12088184421323,72.52370757138577,86.24095500850589,93.75435651117814,102.32133899081691
1938,72.69105172227769,86.51033585241186,94.36119603595185,103.42382495471163,72.67572062149227,86.24237767695897,93.74701114624614,102.32861107931431
1939,73.17592079842265,86.27089570324338,93.48108574359809,101.67807190511263,72.9726761886158,86.3110776028871,93.73238911521678,102.27600419814756
1940,73.23384482991483,86.27698543278453,93.65653748115767,102.15724228670031,73.54298321248783,86.72364026095131,94.17480413374588,102.70443471047167
1941,73.62419801131063,86.4231777327798,93.61673584794268,102.0,73.99207730016892,87.0287175581511,94.42899014633767,102.90443471047168
1942,74.98990070051335,88.13680658353702,95.75846556007915,104.26303440583379,74.19281609453103,87.22284303302702,94.69695558611053,103.26590569488322
1943,74.93652216068307,88.03572233841074,95.6321260989108,104.42382495471163,74.45457761001161,87.419934807211,94.9221106631195,103.53154260297717
1944,74.17961477023324,87.24152307762294,94.82091294246239,103.48542682717024,74.72778475404945,87.5950893218342,95.13922029451646,103.76299106031725
1945,74.54265240731776,87.26244430370457,94.78231286620245,103.48542682717024,74.66463650629126,87.34438064780713,94.76092843860592,103.36299106031724
1946,74.99023373149981,87.29895030589564,94.70228400492753,103.15724228670031,74.77277527057217,87.31477892250965,94.72920335890294,103.30967452671499
1947,74.67415946172238,86.88326321340176,93.86700628052638,102.26303440583379,75.02105818444474,87.41087305712249,94.73767646725594,103.26519604244768
1948,75.47721598208761,87.88771371192331,95.47350070039596,104.15724228670031,75.23727180179947,87.45202104841327,94.70978613949208,103.19955913435369
1949,75.42102933959615,87.72199375068715,94.86327848422735,103.26303440583379,75.4201488917563,87.5080723891093,94.68738885651742,103.10372505803616
1950,75.62372049409137,87.46818426015844,94.64286122738312,103.15724228670031,75.72230370011428,87.72554998369026,94.94936437170442,103.35751990894455
1951,75.90461918128393,87.57920700937586,94.59029759005429,102.67807190511263,75.84990747401076,87.74627383148501,94.90480111812407,103.29567083291548
1952,76.18493350351233,87.97065118630653,95.17688385646137,103.53200866037574,76.04624530941894,87.83986743139933,95.0242222283595,103.44306395174871
1953,76.11523485157004,87.99133295089709,95.25068443249418,103.84799690655495,76.24481713990383,88.06270974069034,95.23963957170535,103.69638048535099
1954,76.40271851663702,88.18996175025869,95.46038403540457,104.0,76.38527352680713,88.22767415969261,95.4767386748146,104.0455310952708
1955,76.61657964651582,88.58239580661353,95.7199479441124,104.42382495471163,76.44599389728228,88.26391457367536,95.4947544426467,104.04553109527077
1956,76.60690111580041,88.40402910438722,95.77579310560046,104.42382495471163,76.62034830113436,88.3750256539769,95.5936132641577,104.12853859512657
1957,76.48853535588809,88.15185325622028,95.26696269562183,103.53200866037574,76.78742914523613,88.4995831366742,95.70381746612176,104.196404010456
1958,76.98700687083044,88.54688835240479,95.74497854004923,104.26303440583379,76.82946137194719,88.47025797661561,95.67622777539125,104.08123840082467
1959,77.23812273714593,88.81274916374521,96.01140504522495,104.33932707664727,76.95899055138844,88.5561034939465,95.76050276811966,104.13208779090488
1960,76.82674078007113,88.4357700063206,95.58199949045978,103.84799690655495,77.07710593278303,88.6352938502515,95.85076893222518,104.24986242767235
1961,77.25454701300657,88.83325669104163,96.19716806924251,104.67807190511263,77.14170195905515,88.7015863042013,95.86493688334193,104.22870400384568
1962,77.07911226286103,88.5478050377453,95.71829351614942,104.12088184421323,77.1730878418991,88.7760928124716,95.96415651668056,104.38501495735886
1963,77.30998700219108,88.87835062215377,95.81581829563291,104.15724228670031,77.30364795832283,88.90414131180249,96.12383861934396,104.55620838612363
1964,77.39505215136569,89.18528170509674,96.5075032119181,105.12088184421323,77.38319572554168,88.99990012735955,96.20521663790687,104.62059400510111
1965,77.47954136218978,89.07601250297506,96.38041000377684,104.70396405037876,77.49964393627388,89.17057889471117,96.38538223677514,104.79641763625845
1966,77.65228584910079,89.3120507688269,96.6040581620571,105.0,77.55483872057535,89.22955992733151,96.52962423708045,104.96496917891841
1967,77.66135331652212,89.40119887450341,96.61912151049073,105.0,77.586071706068,89.27087147178376,96.57214724117786,104.9933996912425
1968,77.58596092369832,89.17325578525542,96.53702829715951,105.0,77.72254052580911,89.48596221254252,96.8201494420421,105.30521376233352
1969,77.551217078829,89.39183942735806,96.72011823240513,105.26303440583379,77.80611022300708,89.64314316037687,97.02918064341796,105.58997875327584
1970,78.16188546089529,90.15146620676877,97.62042100809802,106.26303440583379,77.88958133735646,89.80958909619521,97.2117293025564,105.78997875327585
1971,78.07013433509066,90.09795550799872,97.64921416893644,106.42382495471163,78.005534040325,89.99712071579185,97.41483619639997,105.98997875327584
1972,78.07870888826905,90.23342855359506,97.53186480618295,106.0,78.14413089949014,90.18254319442958,97.61877133007513,106.18997875327584
