year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
1882,0.006170406046275846,8.13885355344764e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00601293174714615,0.006332004482503582
1883,0.0063030424911104,6.85501564530858e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006170108499185525,0.0064388405244393135
1884,0.006347458498601745,7.059253419365843e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006210596716315154,0.006487336278916586
1885,0.0062100304436816,7.615133556640963e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006062555893031569,0.006361092382798339
1886,0.006280551223414471,6.952037679125266e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006145761219539572,0.006418297467288872
1887,0.005995067978898725,8.45028891894654e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0058317122212963755,0.006162999597333916
1888,0.0062354633257715895,8.944523244310179e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0060625953612232835,0.006413260422380764
1889,0.006088410362513511,9.740153373508586e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005900468738294353,0.006282338299969938
1890,0.006013047014853451,8.406128920019952e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005850526607495727,0.006180082038514924
1891,0.005852289842031349,9.121158060064736e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005676221325456297,0.006033819759906932
1892,0.005477391678821976,6.979533958387998e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005342289420122144,0.0056159105663995046
1893,0.005539351254809854,8.718340114851329e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005371083607833308,0.005712890463930347
1894,0.005288667883155618,7.408666518078617e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0051454359935739465,0.005435886873970062
1895,0.005099440485516993,7.526421065073465e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004954038555219493,0.005249109988845786
1896,0.004706898156636199,7.602215528250475e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00456023114950428,0.004858282295482675
1897,0.005011449527442777,6.891065562115315e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0048781909011635,0.005148348409267119
1898,0.0047433975476509444,7.356687730427916e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004601378579033165,0.0048897998520670794
1899,0.004663337412730185,8.544199561042448e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004498845359188989,0.004833843817403263
1900,0.005182248712635736,8.094774552871316e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005025998059497398,0.0053433569614828565
1901,0.004751310734247756,9.344192760853525e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004571652691776855,0.004938029027004628
1902,0.00413001285144835,8.840563494659265e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003960325439579285,0.0043069708319073245
1903,0.004171367711688742,8.001662036078096e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004017449555615393,0.004331182842556935
1904,0.004098820602498819,6.198191162174965e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003979120901563939,0.004222121103398903
1905,0.004207894832360834,6.258637375332714e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004086998518373856,0.004332367345034924
1906,0.004010026700804353,5.635331786157807e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0039010834579886544,0.004122012336914892
1907,0.004035525049746857,5.529042378770482e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003928599883444624,0.004145360410909334
1908,0.004167101784842921,6.449563798849748e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004042590728016472,0.004295447759501788
1909,0.0037273583764529353,6.650613200718774e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003599261645982423,0.003860014034273325
1910,0.003602510011573445,6.893796391313069e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003469896534389818,0.003740191747754548
1911,0.003659730626391307,7.432289790903194e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00351692143252085,0.0038083387743314628
1912,0.0038964548124452705,6.030346553267936e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003780036793846196,0.004016458286899324
1913,0.0035639721021423574,5.1978342830868284e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0034635386986599783,0.003667317807005679
1914,0.0036128151717606818,5.000641153032011e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0035161219146424283,0.0037121674908224935
1915,0.0036276585218529074,8.256963021029031e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003469381712949335,0.0037931560837059734
1916,0.00399277316136303,8.753687140988367e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0038248379654783416,0.0041680818016318665
1917,0.004239029149749066,8.310284985836685e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004079240048609056,0.004405077396352172
1918,0.008525012176426853,0.00021860794842072076,20,100,lognormal delta-method from GGM curve_fit covariance,0.008107137536858999,0.008964425764063623
1919,0.0058301591843801116,0.00011879457508709774,20,100,lognormal delta-method from GGM curve_fit covariance,0.005601914026591396,0.00606770399436033
1920,0.005018859939683111,8.386713179348422e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004857146045525937,0.0051859579386867045
1921,0.0029397304026683047,6.752850035947433e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002810312187231215,0.003075108480701095
1922,0.0029597360564715966,5.999843402055457e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0028444467611422114,0.0030796981837200466
1923,0.0026868059181931418,5.237273105007352e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0025860933490067313,0.0027914406279302877
1924,0.002588373865176153,5.377389097818061e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0024850959102087366,0.002695943942607912
1925,0.002723364039753144,5.857192091133503e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0026109511186629287,0.0028406168311640675
1926,0.002550117343465122,6.148055600766102e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0024324203120902246,0.0026735093573747436
1927,0.0026366640915672823,6.189519234314967e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0025181002080713485,0.0027608105147987594
1928,0.002441172412434485,6.394204361447162e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002319010883084612,0.0025697692023352917
1929,0.0025352834934034268,5.441441807045185e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002430845265474477,0.0026442087792327112
1930,0.0024774133067755446,6.548069565755725e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0023523410889031006,0.002609135521010049
1931,0.0024691962177024645,4.470522740061244e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002383111985676829,0.0025583900371280973
1932,0.002500277946793744,4.769838080317234e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0024085170305014167,0.00259553481750623
1933,0.0020714983728780004,4.637920891341714e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0019825624106505203,0.0021644239221847252
1934,0.0020517431020615536,4.7999915808955207e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0019597892750266026,0.0021480114267897624
1935,0.0020799486152487524,5.2808536825766795e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.001978978858773463,0.0021860699637572165
1936,0.0019225678073930583,4.9744384097073466e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0018275014791929217,0.0020225794704453706
1937,0.0018795370223985153,3.886297371938758e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0018048897849363907,0.0019572715453598614
1938,0.001677818088192598,4.231851626111371e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0015968920848155363,0.0017628451940078628
1939,0.0014440204602541894,3.735559970290015e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0013726299662990028,0.0015191239742892943
1940,0.0013165144107518752,4.005660608946528e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0012402999900637814,0.0013974120838525753
1941,0.0012599453185305172,4.328731019303682e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0011778972074270293,0.0013477086079137425
1942,0.0013639215878273243,3.64729745596848e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0012942769180158042,0.0014373138173500936
1943,0.001586450492662492,3.5605642064352174e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0015181773461802445,0.0016577939145261463
1944,0.0019204137476729296,4.768301764224837e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0018291943499787035,0.0020161821308348803
1945,0.0024032573347374103,5.380404099924311e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002300083519170487,0.0025110591719087303
1946,0.0015605988624972917,3.354294338434083e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00149622142803778,0.0016277462439645964
1947,0.0012641816338350353,4.298498245236083e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0011826785880453116,0.001351301375944577
1948,0.0011224993608680257,3.722397163177915e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0010518621404365575,0.0011978801847799014
