scenario,year,age,survival,survival low,survival high
exponential,2030,11,0.996017,0.995953,0.996294
exponential,2030,12,0.995674,0.995553,0.995944
exponential,2030,13,0.99533,0.995153,0.995622
exponential,2030,14,0.994956,0.994801,0.995281
exponential,2030,15,0.994614,0.994402,0.994895
exponential,2030,16,0.994261,0.994025,0.994536
exponential,2030,17,0.993909,0.993647,0.994191
exponential,2030,18,0.993535,0.993262,0.99385
exponential,2030,19,0.993191,0.992893,0.993518
exponential,2030,20,0.992794,0.992496,0.993205
exponential,2030,21,0.992457,0.992121,0.992864
exponential,2030,22,0.992088,0.991789,0.992527
exponential,2030,23,0.991739,0.991368,0.992206
exponential,2030,24,0.991404,0.990989,0.991899
exponential,2030,25,0.991004,0.990625,0.991541
exponential,2030,26,0.990648,0.990212,0.991182
exponential,2030,27,0.990275,0.989775,0.990867
exponential,2030,28,0.989898,0.989315,0.990504
exponential,2030,29,0.989516,0.9889,0.99015
exponential,2030,30,0.989132,0.988481,0.989787
exponential,2030,31,0.988737,0.988071,0.989413
exponential,2030,32,0.988341,0.987617,0.989036
exponential,2030,33,0.98793,0.987202,0.988682
exponential,2030,34,0.987504,0.986759,0.988328
exponential,2030,35,0.987095,0.98628,0.987915
exponential,2030,36,0.986675,0.985829,0.987501
exponential,2030,37,0.986248,0.98534,0.987073
exponential,2030,38,0.985739,0.984827,0.986619
exponential,2030,39,0.985301,0.984295,0.986168
exponential,2030,40,0.984819,0.983746,0.98569
exponential,2030,41,0.984283,0.983197,0.985208
exponential,2030,42,0.983717,0.982636,0.984732
exponential,2030,43,0.983166,0.982025,0.984169
exponential,2030,44,0.982562,0.981382,0.983635
exponential,2030,45,0.981918,0.98067,0.983028
exponential,2030,46,0.981257,0.979956,0.982376
exponential,2030,47,0.98054,0.979145,0.981631
exponential,2030,48,0.979749,0.978226,0.980839
exponential,2030,49,0.978904,0.977207,0.980004
exponential,2030,50,0.977986,0.976111,0.979077
exponential,2030,51,0.977,0.97493,0.978109
exponential,2030,52,0.975855,0.973657,0.97703
exponential,2030,53,0.974568,0.972244,0.97582
exponential,2030,54,0.973161,0.970632,0.974457
exponential,2030,55,0.971594,0.968985,0.972914
