year,xc_variant,h_ext_variant,xc_factor,h_ext,n,from_age,random_seed,Median,Top 10%,Top 1%,Top 0.01%
1900,low,high,0.8131478289636971,0.006685965133815,200000,20,3353671086,69.77945544554458,86.30940298507463,95.272625,105.07486
1900,central,central,0.8612225096708863,0.0065262362753043,200000,20,144525913,72.54893617021278,88.4825,96.96182352941176,105.61756
1900,high,low,0.9009554492272798,0.0063703233667321,200000,20,2285583801,74.59649999999999,89.98623655913978,98.27959615384616,106.984195
1950,low,high,0.8089979715055594,0.0009993849383417,200000,20,3518207980,75.11768092105262,88.20425675675675,96.37196875,104.9105225
1950,central,central,0.8503373103793845,0.0009471149612417,200000,20,2519645449,77.43453525641024,90.00113461538461,97.79809,105.8345225
1950,high,low,0.8861046179766926,0.0008975788161231,200000,20,536767974,79.25790662650601,91.41729166666667,99.01338157894737,107.5590425
2000,low,high,0.8817282685007926,0.0003784677386237,200000,20,114345189,79.43666237113402,91.34967499999999,98.958234375,106.758135
2000,central,central,0.9130924308641714,0.0003346109149408,200000,20,4215831693,80.93106936416186,92.46730769230768,99.84599999999999,108.38000000000001
2000,high,low,0.938790495342622,0.0002958362179156,200000,20,3394873063,82.05129781420764,93.33606589147287,100.5190125,108.25247249999998
2019,low,high,0.9824758697601602,0.0004017034295591,200000,20,2622655388,83.71135057471263,94.63110655737705,101.68231034482758,109.05412
2019,central,central,0.995338171627344,0.0003767783778403,200000,20,2139660662,84.19406077348066,95.05297619047619,102.05572916666667,109.7155
2019,high,low,1.0051219937932478,0.0003533998854922,200000,20,1766786714,84.57438423645321,95.29460176991151,102.25110416666666,110.028515
