year,Median,Top 10%,Top 1%,Top 0.01%,Median smoothed,Top 10% smoothed,Top 1% smoothed,Top 0.01% smoothed
1900,70.35983855545295,84.82620868122096,92.31948662217232,100.81563052469849,70.97591793111424,85.53541945077255,93.23432966295773,101.85073631810126
1901,71.29858291172579,85.94846405809102,93.66500928057772,102.17053491104718,71.21916497630923,85.72118668184564,93.43205266374403,102.13322022138351
1902,71.26933232616396,85.83158561300566,93.71849308612316,102.5660435185581,71.24029951559288,85.70473085633395,93.39985842527206,102.06122163001166
1903,71.94890611189419,86.2784883750649,94.02522166610292,102.98067193123026,71.36707249423718,85.91487497539413,93.66391474820635,102.39950129801092
1904,71.3248376727275,85.63890755428726,93.27108147138416,101.77322726452427,71.50578112759466,86.05457626456737,93.83335310873332,102.61864362236456
1905,70.99370344867444,85.8769292765218,93.63976823684384,102.50702886469477,71.59474933532876,86.08419103778833,93.79694495623161,102.52883344423853
1906,71.99212607851324,86.6469705039573,94.51220108321252,103.26624653281539,71.53836003625517,85.99190507811849,93.67105393209945,102.32022047928844
1907,71.71417336483438,85.97965947911037,93.53645232361457,102.11699262792806,71.72630595478157,86.19973723158884,93.87348401823398,102.58345414588253
1908,71.66695961652634,85.81705857671571,93.39576654544216,101.93760710647969,71.95844925965726,86.3091381124099,93.94912025745211,102.62022990112442
1909,72.2645672653594,86.67806832163899,94.28323190205681,103.08939559749471,72.00958979627735,86.30654281865012,93.9275450878484,102.58683784478535
1910,72.15441997305292,86.42393368062717,94.01794943293454,102.6909076409042,72.02529101601853,86.32213871412884,93.96328157987998,102.62899843404387
1911,72.24782876161373,86.63399403515837,94.40432523519394,103.09928625112002,72.11024749431522,86.4440254846381,94.0921335283408,102.77550019866598
1912,71.79267946354021,86.05763895650396,93.7151347837724,102.32779557422074,72.08324055989816,86.35684707054402,94.0339202252418,102.69352365940092
1913,72.09174200800986,86.42649242926205,94.0400262877463,102.67011592959031,71.91467346417116,86.15361055889232,93.80154570707714,102.42111932477573
1914,72.12953259327409,86.24217625116854,93.9921653865618,102.67951290116932,71.93546981155932,86.14355828869449,93.78909496895598,102.4204546691952
1915,71.31158449441796,85.40775112236862,92.85607684211126,101.32888596777835,72.05327102335778,86.21459785988507,93.84307884023015,102.45133627486294
1916,72.35181049855449,86.58373268416932,94.34207154458817,103.09596297321728,70.77874541910813,85.93425525189778,93.7661019534314,102.5131559209448
1917,72.38168552253254,86.41283681245686,93.98505414014319,102.48220360255941,70.6381533595462,85.88158748794697,93.74276321481292,102.48025042677284
1918,65.71911398676158,85.02477938932556,93.6551418537526,102.97921415999963,70.91972014821827,86.13677907032415,94.04739598280592,102.83028266789297
1919,71.42657229546444,85.97883743141449,93.87547169346942,102.5149854303096,71.14512044220885,86.22822996042922,94.07663394906845,102.78455167515502
1920,72.71941843777836,86.68370903425449,94.3792406820763,103.07904717337892,71.21991405748008,86.16632533199588,94.00652182900103,102.69356071097998
1921,73.47881196850734,87.04098713469472,94.48826137590069,102.86730800952755,72.88659478154649,86.65368631650996,94.25226865398724,102.78264573048796
