country_key,country_name,hmd_country_code,year,condition,from_t,ref_year,old_fig4_ref_year,sr_baseline_median,sr_baseline_steepness,ref_median,ref_steepness,old_fig4_ref_median,old_fig4_ref_steepness,age_at_survival_75,median_lifespan,age_at_survival_25,iqr,steepness_iqr_absolute,x_relative_to_sr,y_relative_to_sr,x_relative_to_ref_year,y_relative_to_ref_year,x_relative_to_old_fig4_ref,y_relative_to_old_fig4_ref,ggm_a,ggm_b,ggm_c,ggm_m
denmark,Denmark,dan,1835,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,84.35204738604172,5.672932506677942,84.4931377825619,5.7466000900543,46.46261378413524,63.127737226277375,74.77191987906274,28.309306094927493,2.229928809084752,0.7460492831248295,0.3416441836537581,0.7483841730286624,0.3930822033330684,0.7471344878767892,0.3880431514529979,,,,
denmark,Denmark,dan,1835,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,83.49069491809809,5.794063617394788,83.67521966188383,5.850403879993013,59.51138003586724,69.85958508073948,78.36078616917834,18.8494061333111,3.7061955473112778,0.8256068672645047,0.5678208860587131,0.8367349816559758,0.6396539271996656,0.8348897721814081,0.6334939644057025,0.0001630923594023,0.0850685820079119,8.498293503472658,0.0074715141613278
denmark,Denmark,dan,1836,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,84.35204738604172,5.672932506677942,84.4931377825619,5.7466000900543,46.101581508515814,62.77970102281668,74.32762237762238,28.22604086910656,2.2241766499930615,0.7419361599320461,0.3407629036374989,0.7442581771074503,0.3920682376134129,0.7430153817269343,0.3870421840981186,,,,
denmark,Denmark,dan,1836,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,83.49069491809809,5.794063617394788,83.67521966188383,5.850403879993013,58.92628612334249,69.27220624332965,77.6854483522961,18.759162228953613,3.692713213834904,0.8186651712711643,0.5657552771498019,0.8296997205650719,0.6373270053074213,0.8278700255971349,0.6311894511185978,0.0001791984513516,0.084058608215639,8.909160328258269,0.0074038757160972
denmark,Denmark,dan,1837,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,84.35204738604172,5.672932506677942,84.4931377825619,5.7466000900543,46.34775086505191,62.26470588235294,73.18887492143307,26.84112405638116,2.3197503111852815,0.7358499009872884,0.3554056067246071,0.7381528701656184,0.4089155491369882,0.7369202696979663,0.4036735243157249,,,,
denmark,Denmark,dan,1837,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,83.49069491809809,5.794063617394788,83.67521966188383,5.850403879993013,58.18867524352239,68.23677835373576,76.40012757174722,18.21145232822483,3.746915793639352,0.8064283912327784,0.5740595763963857,0.8172980045342062,0.6466818525068413,0.8154956584454517,0.6404542097431787,0.0001691933064722,0.0865944277700865,9.023076321072825,0.0072277184178353
denmark,Denmark,dan,1838,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,84.35204738604172,5.672932506677942,84.4931377825619,5.7466000900543,47.70965011286681,63.16544117647059,74.27625077208154,26.56660065921473,2.377626027007765,0.7464948718034129,0.3642726618543468,0.7488311562538669,0.4191176299398806,0.7475807247095393,0.4137448212418238,,,,
denmark,Denmark,dan,1838,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,83.49069491809809,5.794063617394788,83.67521966188383,5.850403879993013,57.62791683436713,68.30477667937673,76.97528348584252,19.347366651475397,3.530443078369424,0.8072320015683794,0.540894103225042,0.8181124464993579,0.6093207309237024,0.8163083043627942,0.6034528813374233,0.0002370246157297,0.0804835056322741,8.96596579226792,0.0060155168096821
denmark,Denmark,dan,1839,with_extrinsic,20,2019,2020,84.61604166666667,6.52705041027331,84.35204738604172,5.672932506677942,84.4931377825619,5.7466000900543,48.670616113744074,64.12374821173105,74.8886815920398,26.218065478295728,2.4457848831301088,0.7578202306406366,0.3747151821105202,0.7601919597548741,0.4311323782278445,0.7589225574359628,0.4256055484638741,,,,
denmark,Denmark,dan,1839,extrinsic_removed,20,2019,2020,84.61604166666667,6.52705041027331,83.49069491809809,5.794063617394788,83.67521966188383,5.850403879993013,59.578834964597455,69.69995102122806,77.99864963191435,18.419814667316892,3.783965923658278,0.8237202975743239,0.5797359734961555,0.8348229834426658,0.6530763508184745,0.8329819904013726,0.6467871280816253,0.0001467013682087,0.0870845729257517,8.65756889349812,0.0063727710060895
