parameter,estimate,ci95_lower,ci95_upper,log2_estimate,log2_se
epsilon,47.36388406538982,46.7884517213596,47.94639342031428,-0.06999999999999999,0.00899740026393192
Xc,15.915023948359181,15.664240786444962,16.1698221273532,-0.45,0.011691061709842765
xc_std_frac,0.14948492486349388,0.14562513149326464,0.15344702203738733,0.08000000000000002,0.01925543241866499
h_ext,0.0018921152934511917,0.0018547777023430725,0.001930204508707044,0.92,0.014670261110522597
