parameter,estimate,ci95_lower,ci95_upper,log2_estimate,log2_se
epsilon,44.808964698686644,44.33036944516871,45.292726916061575,-0.15,0.007904085654733982
Xc,18.795526489487422,18.63548314990145,18.956944296820744,-0.21000000000000002,0.006294441089461612
xc_std_frac,0.16245047927124714,0.16099148481429465,0.16392269594816905,0.2,0.0066406208592539664
h_ext,0.002,0.0019808688990453236,0.0020193158678637408,1.0,0.007074795564363296
