scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,mean_lifespan,mean_lifespan_from_annual_curve_0_120,survival_at_120,n_surviving_to_tmax,Top 10%,Top 1%,Top 0.01%
exponential,2020,2019,low,0.9824758697601602,0.0004017034295591,1000000,0,3762060169,81.36070902499999,81.348184,0.0,0,94.5942710105477,101.66140682881291,109.49506556216483
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,81.91499317499999,81.90224,0.0,0,94.99124747329334,102.03048820541558,109.68647440954267
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,82.37996704999999,82.367771,0.0,0,95.24653163552176,102.24116976308002,109.85695554600001
exponential,2030,2019,low,1.02140397559075,0.0003765423384738,1000000,0,4130098841,82.843502275,82.83070899999998,0.0,0,95.68299622286743,102.58608547135286,110.47555499029166
exponential,2030,2019,central,1.0378656735584753,0.0003535006986797,1000000,0,2460952840,83.499206575,83.486637,0.0,0,96.14772017008147,102.944731499687,110.5816912485882
exponential,2030,2019,high,1.0394292733454855,0.0003318690388803,1000000,0,207124001,83.62996465,83.617703,0.0,0,96.16974326313165,102.96224720726217,110.62730952529174
exponential,2040,2019,low,1.0618745085385854,0.0003529572371811,1000000,0,3627862420,84.28627945,84.274091,0.0,0,96.72281505096802,103.45553860327256,110.81913980026425
exponential,2040,2019,central,1.0822102347284233,0.0003316611337501,1000000,0,1284695184,84.99568502499999,84.98321999999999,0.0,0,97.2270117531191,103.87999183647821,111.27060422109831
exponential,2040,2019,high,1.0822102347284233,0.0003116499565753,1000000,0,3003282585,85.050353725,85.037674,0.0,0,97.22458533787032,103.90322543479806,111.22063437619809
exponential,2050,2019,low,1.1039485833525418,0.0003308494120036,1000000,0,972800887,85.61339167500002,85.600468,0.0,0,97.70395352173952,104.3159308815317,111.65912143972582
exponential,2050,2019,central,1.1284494920574737,0.0003111708351673,1000000,0,4071764678,86.398917125,86.386831,0.0,0,98.24459152303412,104.781590895233,112.0
exponential,2050,2019,high,1.1284494920574737,0.0002926627194904,1000000,0,299019827,86.47409780000001,86.46170799999999,0.0,0,98.26513959053497,104.74053641261294,112.1960472002169
exponential,2060,2019,low,1.147689736297874,0.0003101263322926,1000000,0,3416889100,86.924708125,86.912546,0.0,0,98.66078669766694,105.06937945457126,112.39711210467054
exponential,2060,2019,central,1.1766643996342585,0.0002919464441429,1000000,0,24771029,87.7465381,87.734542,0.0,0,99.23947623944811,105.59187622220907,112.70543917163046
exponential,2060,2019,high,1.1766643996342585,0.0002748322776,1000000,0,2985565717,87.801189125,87.78864099999998,0.0,0,99.2607687017558,105.56140507038023,112.72811541542953
exponential,2070,2019,low,1.1887748636404547,0.0002907012631482,1000000,0,2339297821,88.0895766,88.077458,0.0,0,99.48266309334913,105.79912816793345,113.15147820875299
exponential,2070,2019,central,1.2269393704473686,0.000273909751863,1000000,0,4165235361,89.03454989999999,89.022048,0.0,0,100.17146252881103,106.36299785231138,113.24589146914863
exponential,2070,2019,high,1.2269393704473686,0.0002580881532923,1000000,0,3701743152,89.069892125,89.057446,0.0,0,100.1878626592073,106.37555278323259,113.24589146914863
exponential,2080,2019,low,1.2293506662031588,0.0002724929023963,1000000,0,1312084098,89.088415075,89.075765,0.0,0,100.22792973322267,106.41351074358826,113.78339635115242
exponential,2080,2019,central,1.2793624241726882,0.0002569873813189,1000000,0,585086990,90.24154032499999,90.22909899999999,0.0,0,101.07554128593912,107.13506485821829,114.04926315429434
exponential,2080,2019,high,1.2793624241726882,0.000242364162796,1000000,0,2950629883,90.329853775,90.31765999999999,0.0,0,101.09046866231775,107.16555667192985,114.14437468380783
