source,age,conditional_survival,param,heterogeneity_cv,curve_id
SR epsilon_25,120,0.0,epsilon,0.25,epsilon_25
SR epsilon_25,121,0.0,epsilon,0.25,epsilon_25
SR epsilon_25,122,0.0,epsilon,0.25,epsilon_25
SR epsilon_25,123,0.0,epsilon,0.25,epsilon_25
SR epsilon_25,124,0.0,epsilon,0.25,epsilon_25
SR epsilon_25,125,0.0,epsilon,0.25,epsilon_25
SR eta_5,90,1.0,eta,0.05,eta_5
SR eta_5,91,0.8611134839619015,eta,0.05,eta_5
SR eta_5,92,0.7311536325972751,eta,0.05,eta_5
SR eta_5,93,0.6148222497472914,eta,0.05,eta_5
SR eta_5,94,0.5110693489372001,eta,0.05,eta_5
SR eta_5,95,0.4185246088355472,eta,0.05,eta_5
SR eta_5,96,0.3388751263543046,eta,0.05,eta_5
SR eta_5,97,0.2701775366961375,eta,0.05,eta_5
SR eta_5,98,0.2125492959751705,eta,0.05,eta_5
SR eta_5,99,0.16513617790686086,eta,0.05,eta_5
SR eta_5,100,0.12694514443542762,eta,0.05,eta_5
SR eta_5,101,0.09576944432580191,eta,0.05,eta_5
SR eta_5,102,0.07137416534973448,eta,0.05,eta_5
SR eta_5,103,0.05247084952803998,eta,0.05,eta_5
SR eta_5,104,0.03811272939535016,eta,0.05,eta_5
SR eta_5,105,0.027591508990731643,eta,0.05,eta_5
SR eta_5,106,0.01972550862056692,eta,0.05,eta_5
SR eta_5,107,0.013898973504748075,eta,0.05,eta_5
SR eta_5,108,0.009506826691723971,eta,0.05,eta_5
SR eta_5,109,0.0064351713435555746,eta,0.05,eta_5
SR eta_5,110,0.004356554051168154,eta,0.05,eta_5
SR eta_5,111,0.0028403023961047283,eta,0.05,eta_5
SR eta_5,112,0.0018152308546533977,eta,0.05,eta_5
SR eta_5,113,0.0011887982459886958,eta,0.05,eta_5
SR eta_5,114,0.0007332108942325489,eta,0.05,eta_5
SR eta_5,115,0.0004947393897976908,eta,0.05,eta_5
SR eta_5,116,0.00033813123763151525,eta,0.05,eta_5
SR eta_5,117,0.00022423439969247854,eta,0.05,eta_5
SR eta_5,118,0.00014593032360939078,eta,0.05,eta_5
SR eta_5,119,9.610045701106223e-05,eta,0.05,eta_5
SR eta_5,120,5.338914278392346e-05,eta,0.05,eta_5
SR eta_5,121,4.2711314227138767e-05,eta,0.05,eta_5
SR eta_5,122,2.847420948475918e-05,eta,0.05,eta_5
SR eta_5,123,2.1355657113569383e-05,eta,0.05,eta_5
SR eta_5,124,1.423710474237959e-05,eta,0.05,eta_5
SR eta_5,125,7.118552371189795e-06,eta,0.05,eta_5
SR beta_5,90,1.0,beta,0.05,beta_5
SR beta_5,91,0.8662322715565942,beta,0.05,beta_5
SR beta_5,92,0.7407138395896053,beta,0.05,beta_5
SR beta_5,93,0.6254763258173857,beta,0.05,beta_5
SR beta_5,94,0.5212600967037903,beta,0.05,beta_5
SR beta_5,95,0.42713881695754996,beta,0.05,beta_5
SR beta_5,96,0.34596868706007844,beta,0.05,beta_5
SR beta_5,97,0.27619879716765966,beta,0.05,beta_5
SR beta_5,98,0.2167835112318154,beta,0.05,beta_5
SR beta_5,99,0.16729124121911337,beta,0.05,beta_5
SR beta_5,100,0.12754303599374023,beta,0.05,beta_5
SR beta_5,101,0.09491077005129933,beta,0.05,beta_5
SR beta_5,102,0.06924356302237941,beta,0.05,beta_5
SR beta_5,103,0.04932384541428942,beta,0.05,beta_5
SR beta_5,104,0.03491652455841176,beta,0.05,beta_5
SR beta_5,105,0.024456655227829357,beta,0.05,beta_5
SR beta_5,106,0.01647753987803252,beta,0.05,beta_5
SR beta_5,107,0.011024793504424655,beta,0.05,beta_5
SR beta_5,108,0.007129974666133322,beta,0.05,beta_5
SR beta_5,109,0.004557990694540937,beta,0.05,beta_5
SR beta_5,110,0.0028316385608118068,beta,0.05,beta_5
SR beta_5,111,0.0017579317459314933,beta,0.05,beta_5
SR beta_5,112,0.0010175652820761138,beta,0.05,beta_5
SR beta_5,113,0.0006035214776451434,beta,0.05,beta_5
SR beta_5,114,0.0003473757342259837,beta,0.05,beta_5
SR beta_5,115,0.00018596882741391048,beta,0.05,beta_5
SR beta_5,116,9.824768240734893e-05,beta,0.05,beta_5
SR beta_5,117,5.6141532804199384e-05,beta,0.05,beta_5
SR beta_5,118,3.5088458002624616e-05,beta,0.05,beta_5
SR beta_5,119,1.4035383201049846e-05,beta,0.05,beta_5
SR beta_5,120,1.0526537400787386e-05,beta,0.05,beta_5
SR beta_5,121,3.5088458002624615e-06,beta,0.05,beta_5
SR beta_5,122,3.5088458002624615e-06,beta,0.05,beta_5
SR beta_5,123,0.0,beta,0.05,beta_5
SR beta_5,124,0.0,beta,0.05,beta_5
SR beta_5,125,0.0,beta,0.05,beta_5
