scenario_id,factor,age,remaining_median,n,random_seed
central,0.9,65,16.224999999999994,300000,20265722
central,0.9,70,12.549999999999997,300000,20265722
central,0.9,75,9.400000000000006,300000,20265722
central,0.9,80,6.875,300000,20265722
central,0.9,85,4.875,300000,20265722
central,0.9,90,3.375,300000,20265722
central,0.9,95,2.325000000000003,300000,20265722
central,0.9,100,1.625,300000,20265722
Xc_ci_lower,0.9,60,20.099999999999994,300000,20265722
Xc_ci_lower,0.9,65,16.025000000000006,300000,20265722
Xc_ci_lower,0.9,70,12.375,300000,20265722
Xc_ci_lower,0.9,75,9.275000000000006,300000,20265722
Xc_ci_lower,0.9,80,6.775000000000006,300000,20265722
Xc_ci_lower,0.9,85,4.775000000000006,300000,20265722
Xc_ci_lower,0.9,90,3.375,300000,20265722
Xc_ci_lower,0.9,95,2.375,300000,20265722
Xc_ci_lower,0.9,100,1.625,300000,20265722
Xc_ci_upper,0.9,60,20.599999999999994,300000,20265722
Xc_ci_upper,0.9,65,16.474999999999994,300000,20265722
Xc_ci_upper,0.9,70,12.75,300000,20265722
Xc_ci_upper,0.9,75,9.549999999999997,300000,20265722
Xc_ci_upper,0.9,80,6.924999999999997,300000,20265722
Xc_ci_upper,0.9,85,4.875,300000,20265722
Xc_ci_upper,0.9,90,3.4000000000000057,300000,20265722
Xc_ci_upper,0.9,95,2.424999999999997,300000,20265722
Xc_ci_upper,0.9,100,1.7000000000000028,300000,20265722
xc_std_frac_ci_lower,0.9,60,20.325000000000003,300000,20265722
xc_std_frac_ci_lower,0.9,65,16.224999999999994,300000,20265722
xc_std_frac_ci_lower,0.9,70,12.549999999999997,300000,20265722
xc_std_frac_ci_lower,0.9,75,9.400000000000006,300000,20265722
xc_std_frac_ci_lower,0.9,80,6.825000000000003,300000,20265722
xc_std_frac_ci_lower,0.9,85,4.775000000000006,300000,20265722
xc_std_frac_ci_lower,0.9,90,3.325000000000003,300000,20265722
xc_std_frac_ci_lower,0.9,95,2.3499999999999943,300000,20265722
xc_std_frac_ci_lower,0.9,100,1.625,300000,20265722
xc_std_frac_ci_upper,0.9,60,20.375,300000,20265722
xc_std_frac_ci_upper,0.9,65,16.275000000000006,300000,20265722
xc_std_frac_ci_upper,0.9,70,12.599999999999994,300000,20265722
xc_std_frac_ci_upper,0.9,75,9.450000000000003,300000,20265722
xc_std_frac_ci_upper,0.9,80,6.875,300000,20265722
xc_std_frac_ci_upper,0.9,85,4.875,300000,20265722
xc_std_frac_ci_upper,0.9,90,3.4000000000000057,300000,20265722
xc_std_frac_ci_upper,0.9,95,2.375,300000,20265722
xc_std_frac_ci_upper,0.9,100,1.625,300000,20265722
central,0.95,60,22.075000000000003,300000,20265823
central,0.95,65,17.775000000000006,300000,20265823
central,0.95,70,13.849999999999994,300000,20265823
central,0.95,75,10.375,300000,20265823
central,0.95,80,7.575000000000003,300000,20265823
central,0.95,85,5.349999999999994,300000,20265823
central,0.95,90,3.674999999999997,300000,20265823
central,0.95,95,2.549999999999997,300000,20265823
